# Digitized approximate data from Duretz et al. (2014), Figure 2.
# Rendered from the PDF at 300 dpi and extracted from the black curves.
# Columns: bulk shortening [%], shear-band thickness Dsb [km], shear-band angle theta [deg], temperature increase deltaT [deg C], strain-rate amplification epsf [-].
# shortening_percent	Dsb_km	theta_deg	deltaT_C	epsf
0.0	3.392425	47.189999	8.232366	1.819541
0.5	3.392425	47.189999	8.232366	1.819541
1.0	3.389982	47.189163	8.298046	1.824413
1.5	3.265865	47.113863	11.31913	2.001924
2.0	3.168421	47.115462	14.337164	2.182369
2.5	3.070784	47.165189	17.646383	2.400012
3.0	2.965424	47.197877	21.672461	2.711704
3.5	2.859577	47.246748	25.333304	3.018447
4.0	2.71187	47.33459	29.942793	3.444766
4.5	2.57777	47.422842	34.419742	3.886762
5.0	2.437402	47.51905	39.087002	4.423517
5.5	2.282143	47.673043	44.60398	5.078475
6.0	2.144167	47.81001	49.555018	5.698657
6.5	1.989644	48.01673	55.141445	6.409844
7.0	1.857571	48.179469	60.341644	7.161914
7.5	1.716218	48.362049	65.869471	7.98809
8.0	1.586114	48.602265	71.180657	8.823311
8.5	1.467102	48.790014	76.006109	9.57514
9.0	1.333166	49.077535	81.270589	10.320669
9.5	1.245447	49.280462	85.156022	10.882984
10.0	1.159811	49.515433	89.010176	11.360237
10.5	1.089237	49.790356	92.659289	11.715931
11.0	1.036669	49.993312	95.604448	11.954429
11.5	0.983639	50.276442	98.447191	12.154705
12.0	0.976434	50.522274	100.970987	12.227168
12.5	0.967889	50.745212	102.848568	12.248335
13.0	0.96256	50.990268	104.732139	12.251619
13.5	0.931665	51.285536	106.375484	12.140871
14.0	0.92602	51.544051	107.893633	12.022595
14.5	0.939021	51.805072	109.215298	11.906593
15.0	0.945108	52.049266	110.478901	11.81279
15.5	0.940704	52.316517	111.555604	11.708595
16.0	0.932557	52.618729	112.617104	11.601295
16.5	0.94921	52.934688	113.948893	11.531214
17.0	0.941154	53.214818	114.873644	11.47271
17.5	0.95178	53.474888	115.764644	11.443932
18.0	0.964297	53.727781	116.725908	11.418617
18.5	0.958082	53.990221	117.646419	11.389395
19.0	0.981074	54.29535	118.749266	11.390468
19.5	0.994402	54.560892	119.526386	11.363244
20.0	0.990866	54.877059	120.588556	11.339178
20.5	1.009555	55.149054	121.375066	11.339388
21.0	1.024667	55.418812	122.150226	11.321826
21.5	1.024725	55.712265	123.100965	11.278158
22.0	1.03727	55.992908	123.845911	11.267485
22.5	1.058159	56.269676	124.508429	11.236162
23.0	1.056016	56.566348	125.250377	11.185989
23.5	1.072355	56.875983	126.039856	11.127649
24.0	1.089101	57.143851	126.732116	11.067118
24.5	1.109468	57.438789	127.451737	11.02213
25.0	1.112117	57.720298	128.108601	10.945863
25.5	1.127696	57.994556	128.664975	10.870715
26.0	1.143757	58.28893	129.195487	10.791772
26.5	1.139036	58.585367	129.770472	10.733085
27.0	1.160253	58.890762	130.545585	10.654293
27.5	1.187339	59.197503	130.998325	10.593222
28.0	1.187281	59.427541	131.488628	10.515072
28.5	1.200832	59.742538	132.095827	10.458612
29.0	1.224616	60.016353	132.752018	10.385509
29.5	1.235674	60.319089	133.245473	10.302641
30.0	1.25	60.593351	133.798736	10.255716
30.5	1.262732	60.889244	134.192241	10.183107
31.0	1.271679	61.174869	134.671426	10.129148
31.5	1.287457	61.45966	135.330444	10.059531
32.0	1.296867	61.742491	135.618668	9.985227
32.5	1.326235	62.027779	136.15829	9.933058
33.0	1.332056	62.308777	136.606712	9.872909
33.5	1.352652	62.603884	136.934584	9.812983
34.0	1.356775	62.86903	137.290311	9.754051
34.5	1.375268	63.16337	137.733242	9.691133
35.0	1.402626	63.465055	138.068394	9.653358
35.5	1.408246	63.757735	138.569285	9.589015
36.0	1.425141	64.00257	138.971673	9.508645
36.5	1.438332	64.312171	139.355902	9.466616
37.0	1.465854	64.592297	139.879597	9.434595
37.5	1.473743	64.84257	139.994764	9.41261
38.0	1.498236	65.137009	140.361779	9.394482
38.5	1.508027	65.386438	140.627136	9.394328
39.0	1.532235	65.617162	140.945037	9.362025
39.5	1.532645	65.621843	140.964285	9.360108
40.0	1.532645	65.621843	140.964285	9.360108
