# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.224243e+00 5.684342e-14 6.349920e+03 4.500000e+01 4.512215e+01
2 1.770244e-03 1.768678e-01 1.256746e+00 1.307590e+00 6.115110e+03 4.510143e+01 4.522358e+01
3 3.539646e-03 3.533389e-01 1.288213e+00 2.590833e+00 5.924908e+03 4.520281e+01 4.532496e+01
4 5.308184e-03 5.294120e-01 1.321302e+00 3.848128e+00 5.759007e+03 4.530413e+01 4.542628e+01
5 7.075837e-03 7.050863e-01 1.356116e+00 5.080520e+00 5.610870e+03 4.540540e+01 4.552755e+01
6 8.842586e-03 8.803605e-01 1.392756e+00 6.288889e+00 5.475932e+03 4.550662e+01 4.562876e+01
7 1.060841e-02 1.055234e+00 1.431337e+00 7.474155e+00 5.351185e+03 4.560777e+01 4.572991e+01
8 1.237328e-02 1.229705e+00 1.471970e+00 8.637222e+00 5.234463e+03 4.570886e+01 4.583100e+01
9 1.413719e-02 1.403773e+00 1.514779e+00 9.778454e+00 5.124099e+03 4.580989e+01 4.593202e+01
10 1.590012e-02 1.577438e+00 1.559894e+00 1.089824e+01 5.018822e+03 4.591086e+01 4.603298e+01
11 1.766203e-02 1.750697e+00 1.607448e+00 1.206486e+01 4.917779e+03 4.601175e+01 4.613386e+01
12 1.942292e-02 1.923551e+00 1.657583e+00 1.323918e+01 4.820059e+03 4.611257e+01 4.623468e+01
13 2.118276e-02 2.095998e+00 1.710339e+00 1.441210e+01 4.724448e+03 4.621332e+01 4.633542e+01
14 2.294153e-02 2.268037e+00 1.765826e+00 1.558468e+01 4.630884e+03 4.631399e+01 4.643608e+01
15 2.469921e-02 2.439668e+00 1.824274e+00 1.675854e+01 4.539336e+03 4.641459e+01 4.653666e+01
16 2.645579e-02 2.610890e+00 1.885954e+00 1.793534e+01 4.449769e+03 4.651510e+01 4.663717e+01
17 2.821124e-02 2.781702e+00 1.951007e+00 1.913505e+01 4.361796e+03 4.661553e+01 4.673758e+01
18 2.996555e-02 2.952103e+00 2.019634e+00 2.035822e+01 4.275176e+03 4.671587e+01 4.683792e+01
19 3.171869e-02 3.122092e+00 2.092047e+00 2.158739e+01 4.189696e+03 4.681613e+01 4.693816e+01
20 3.347064e-02 3.291670e+00 2.168400e+00 2.282330e+01 4.104973e+03 4.691630e+01 4.703831e+01
21 3.522139e-02 3.460834e+00 2.248887e+00 2.406666e+01 4.020934e+03 4.701637e+01 4.713837e+01
22 3.697092e-02 3.629584e+00 2.333649e+00 2.531799e+01 3.937340e+03 4.711635e+01 4.723834e+01
23 3.871921e-02 3.797920e+00 2.423081e+00 2.657737e+01 3.854693e+03 4.721623e+01 4.733820e+01
24 4.046623e-02 3.965841e+00 2.517382e+00 2.789029e+01 3.772768e+03 4.731602e+01 4.743797e+01
25 4.221198e-02 4.133346e+00 2.616929e+00 2.922809e+01 3.691546e+03 4.741570e+01 4.753764e+01
26 4.395643e-02 4.300435e+00 2.721892e+00 3.057862e+01 3.610815e+03 4.751528e+01 4.763720e+01
27 4.569957e-02 4.467107e+00 2.832435e+00 3.194202e+01 3.530499e+03 4.761475e+01 4.773665e+01
28 4.744137e-02 4.633362e+00 2.948809e+00 3.331824e+01 3.450541e+03 4.771412e+01 4.783600e+01
29 4.918182e-02 4.799198e+00 3.071456e+00 3.470672e+01 3.371318e+03 4.781338e+01 4.793524e+01
30 5.092090e-02 4.964616e+00 3.200566e+00 3.614430e+01 3.292748e+03 4.791252e+01 4.803436e+01
31 5.265859e-02 5.129615e+00 3.336420e+00 3.761931e+01 3.214805e+03 4.801155e+01 4.813337e+01
32 5.439488e-02 5.294194e+00 3.479171e+00 3.910858e+01 3.137453e+03 4.811047e+01 4.823226e+01
33 5.612975e-02 5.458354e+00 3.629183e+00 4.061142e+01 3.060799e+03 4.820926e+01 4.833103e+01
34 5.786317e-02 5.622093e+00 3.786506e+00 4.212681e+01 2.984880e+03 4.830794e+01 4.842969e+01
35 5.959514e-02 5.785411e+00 3.951333e+00 4.365528e+01 2.909870e+03 4.840649e+01 4.852822e+01
