# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.236267e+00 5.684342e-14 6.499239e+03 4.500000e+01 4.512215e+01
2 1.770244e-03 1.768678e-01 1.270263e+00 1.353178e+00 6.263696e+03 4.510143e+01 4.522358e+01
3 3.539646e-03 3.533389e-01 1.303217e+00 2.673670e+00 6.067315e+03 4.520281e+01 4.532496e+01
4 5.308184e-03 5.294120e-01 1.337872e+00 3.972688e+00 5.894893e+03 4.530413e+01 4.542628e+01
5 7.075837e-03 7.050863e-01 1.374330e+00 5.247120e+00 5.739903e+03 4.540540e+01 4.552755e+01
6 8.842586e-03 8.803605e-01 1.412695e+00 6.497985e+00 5.597785e+03 4.550662e+01 4.562876e+01
7 1.060841e-02 1.055234e+00 1.453080e+00 7.726121e+00 5.465562e+03 4.560777e+01 4.572991e+01
8 1.237328e-02 1.229705e+00 1.495602e+00 8.932190e+00 5.341105e+03 4.570886e+01 4.583100e+01
9 1.413719e-02 1.403773e+00 1.540389e+00 1.011667e+01 5.222768e+03 4.580989e+01 4.593202e+01
10 1.590012e-02 1.577438e+00 1.587571e+00 1.127989e+01 5.109329e+03 4.591086e+01 4.603298e+01
11 1.766203e-02 1.750697e+00 1.637294e+00 1.242198e+01 4.999968e+03 4.601175e+01 4.613386e+01
12 1.942292e-02 1.923551e+00 1.689691e+00 1.359823e+01 4.893691e+03 4.611257e+01 4.623468e+01
13 2.118276e-02 2.095998e+00 1.744922e+00 1.481743e+01 4.790334e+03 4.621332e+01 4.633542e+01
14 2.294153e-02 2.268037e+00 1.803220e+00 1.605430e+01 4.690324e+03 4.631399e+01 4.643608e+01
15 2.469921e-02 2.439668e+00 1.864778e+00 1.729335e+01 4.592968e+03 4.641459e+01 4.653666e+01
16 2.645579e-02 2.610890e+00 1.929758e+00 1.853584e+01 4.497488e+03 4.651510e+01 4.663717e+01
17 2.821124e-02 2.781702e+00 1.998301e+00 1.978264e+01 4.403592e+03 4.661553e+01 4.673758e+01
18 2.996555e-02 2.952103e+00 2.070608e+00 2.103448e+01 4.311050e+03 4.671587e+01 4.683792e+01
19 3.171869e-02 3.122092e+00 2.146893e+00 2.229209e+01 4.219635e+03 4.681613e+01 4.693816e+01
20 3.347064e-02 3.291670e+00 2.227340e+00 2.356076e+01 4.129215e+03 4.691630e+01 4.703831e+01
21 3.522139e-02 3.460834e+00 2.312242e+00 2.486220e+01 4.039945e+03 4.701637e+01 4.713837e+01
22 3.697092e-02 3.629584e+00 2.401837e+00 2.619610e+01 3.951924e+03 4.711635e+01 4.723834e+01
23 3.871921e-02 3.797920e+00 2.496456e+00 2.754163e+01 3.865130e+03 4.721623e+01 4.733820e+01
24 4.046623e-02 3.965841e+00 2.596285e+00 2.889971e+01 3.779055e+03 4.731602e+01 4.743797e+01
25 4.221198e-02 4.133346e+00 2.701610e+00 3.027042e+01 3.693596e+03 4.741570e+01 4.753764e+01
26 4.395643e-02 4.300435e+00 2.812628e+00 3.165388e+01 3.608680e+03 4.751528e+01 4.763720e+01
27 4.569957e-02 4.467107e+00 2.929668e+00 3.304999e+01 3.524468e+03 4.761475e+01 4.773665e+01
28 4.744137e-02 4.633362e+00 3.052970e+00 3.451275e+01 3.440966e+03 4.771412e+01 4.783600e+01
29 4.918182e-02 4.799198e+00 3.182980e+00 3.599405e+01 3.358388e+03 4.781338e+01 4.793524e+01
30 5.092090e-02 4.964616e+00 3.319773e+00 3.749023e+01 3.276404e+03 4.791252e+01 4.803436e+01
31 5.265859e-02 5.129615e+00 3.463783e+00 3.900060e+01 3.195128e+03 4.801155e+01 4.813337e+01
32 5.439488e-02 5.294194e+00 3.615170e+00 4.052442e+01 3.114582e+03 4.811047e+01 4.823226e+01
