# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.231226e+00 5.684342e-14 7.167821e+03 4.198194e+01 4.516437e+01
2 1.770244e-03 1.768678e-01 1.268171e+00 1.349924e+00 7.027610e+03 4.265533e+01 4.523268e+01
3 3.539646e-03 3.533389e-01 1.304017e+00 2.675925e+00 6.818765e+03 4.311834e+01 4.515648e+01
4 5.308184e-03 5.294120e-01 1.340818e+00 3.984308e+00 6.629727e+03 4.350765e+01 4.510217e+01
5 7.075837e-03 7.050863e-01 1.381030e+00 5.280123e+00 6.441881e+03 4.389999e+01 4.506160e+01
6 8.842586e-03 8.803605e-01 1.421664e+00 6.550096e+00 6.235905e+03 4.423065e+01 4.523635e+01
7 1.060841e-02 1.055234e+00 1.464951e+00 7.804039e+00 6.017843e+03 4.452035e+01 4.555632e+01
8 1.237328e-02 1.229705e+00 1.541017e+00 9.261528e+00 5.780625e+03 4.642710e+01 4.573435e+01
9 1.413719e-02 1.403773e+00 1.614716e+00 1.069595e+01 5.473540e+03 4.757339e+01 4.584888e+01
10 1.590012e-02 1.577438e+00 1.679935e+00 1.204348e+01 5.175862e+03 4.822397e+01 4.575571e+01
11 1.766203e-02 1.750697e+00 1.747217e+00 1.336802e+01 4.946858e+03 4.880448e+01 4.590643e+01
12 1.942292e-02 1.923551e+00 1.807990e+00 1.464945e+01 4.788420e+03 4.916228e+01 4.614281e+01
13 2.118276e-02 2.095998e+00 1.875848e+00 1.600638e+01 4.608891e+03 4.945266e+01 4.621192e+01
14 2.294153e-02 2.268037e+00 1.940198e+00 1.732281e+01 4.474856e+03 4.952176e+01 4.642304e+01
15 2.469921e-02 2.439668e+00 2.006706e+00 1.862675e+01 4.340230e+03 4.925976e+01 4.648659e+01
16 2.645579e-02 2.610890e+00 2.637504e+00 2.538523e+01 3.339120e+03 4.344714e+01 4.631021e+01
17 2.821124e-02 2.781702e+00 2.774845e+00 2.725512e+01 3.208794e+03 4.320691e+01 4.735715e+01
18 2.996555e-02 2.952103e+00 2.929708e+00 2.913032e+01 3.078653e+03 4.369732e+01 4.645816e+01
19 3.171869e-02 3.122092e+00 3.079232e+00 3.089832e+01 2.971811e+03 4.386949e+01 4.673482e+01
20 3.347064e-02 3.291670e+00 3.249148e+00 3.273907e+01 2.872078e+03 4.424268e+01 4.812890e+01
21 3.522139e-02 3.460834e+00 3.403730e+00 3.434025e+01 2.776566e+03 4.429291e+01 4.710436e+01
22 3.697092e-02 3.629584e+00 3.569916e+00 3.598241e+01 2.688536e+03 4.450624e+01 4.719087e+01
23 3.871921e-02 3.797920e+00 3.725043e+00 3.764782e+01 2.616506e+03 4.466434e+01 4.762751e+01
24 4.046623e-02 3.965841e+00 3.936149e+00 3.937175e+01 2.535445e+03 4.493281e+01 4.790291e+01
25 4.221198e-02 4.133346e+00 4.172439e+00 4.117261e+01 2.460416e+03 4.502387e+01 4.853271e+01
26 4.395643e-02 4.300435e+00 4.376110e+00 4.283869e+01 2.388451e+03 4.553016e+01 4.832572e+01
27 4.569957e-02 4.467107e+00 4.574649e+00 4.419259e+01 2.315638e+03 4.539463e+01 4.860248e+01
28 4.744137e-02 4.633362e+00 4.783638e+00 4.591629e+01 2.250675e+03 4.563894e+01 4.865990e+01
29 4.918182e-02 4.799198e+00 5.007103e+00 4.790531e+01 2.195649e+03 4.619325e+01 4.911457e+01
30 5.092090e-02 4.964616e+00 5.228975e+00 4.932379e+01 2.131462e+03 4.609751e+01 4.948126e+01
31 5.265859e-02 5.129615e+00 5.472315e+00 5.099147e+01 2.071229e+03 4.672731e+01 4.977677e+01
32 5.439488e-02 5.294194e+00 5.776532e+00 5.237672e+01 2.005833e+03 4.684076e+01 5.017156e+01
33 5.612975e-02 5.458354e+00 6.038634e+00 5.414771e+01 1.950069e+03 4.686043e+01 5.034908e+01
34 5.786317e-02 5.622093e+00 6.314201e+00 5.595671e+01 1.897095e+03 4.711319e+01 5.092545e+01
35 5.959514e-02 5.785411e+00 6.730476e+00 5.743042e+01 1.835025e+03 4.763700e+01 4.981711e+01
36 6.132563e-02 5.948307e+00 7.008744e+00 5.927999e+01 1.786454e+03 4.755592e+01 5.022994e+01
37 6.305464e-02 6.110782e+00 7.307081e+00 6.109614e+01 1.739157e+03 4.753364e+01 5.049887e+01
38 6.478213e-02 6.272835e+00 7.613185e+00 6.291546e+01 1.693180e+03 4.753795e+01 5.079486e+01
39 6.650810e-02 6.434466e+00 7.946549e+00 6.470569e+01 1.646614e+03 4.769589e+01 5.088132e+01
40 6.823253e-02 6.595674e+00 8.340848e+00 6.606216e+01 1.595081e+03 4.794388e+01 5.014070e+01
41 6.995540e-02 6.756459e+00 8.701970e+00 6.767704e+01 1.549592e+03 4.838807e+01 4.986673e+01
42 7.167669e-02 6.916821e+00 9.044915e+00 6.939288e+01 1.509104e+03 4.873142e+01 5.048704e+01
43 7.339640e-02 7.076759e+00 9.371513e+00 7.121203e+01 1.472845e+03 4.862160e+01 5.046023e+01
44 7.511450e-02 7.236274e+00 9.710214e+00 7.292359e+01 1.438704e+03 4.872671e+01 5.061885e+01
45 7.683098e-02 7.395364e+00 1.008155e+01 7.539568e+01 1.415531e+03 4.874664e+01 5.183133e+01
46 7.854582e-02 7.554030e+00 1.043421e+01 7.711268e+01 1.387455e+03 4.888236e+01 5.196643e+01
47 8.025901e-02 7.712272e+00 1.077532e+01 7.875225e+01 1.361652e+03 4.904786e+01 5.205693e+01
48 8.197054e-02 7.870090e+00 1.125110e+01 8.127032e+01 1.339941e+03 4.909416e+01 5.310503e+01
49 8.368038e-02 8.027482e+00 1.156573e+01 8.289624e+01 1.318042e+03 4.923505e+01 5.295542e+01
50 8.538852e-02 8.184450e+00 1.160555e+01 8.407805e+01 1.300452e+03 4.949143e+01 5.202414e+01
51 8.709494e-02 8.340993e+00 1.187373e+01 8.559263e+01 1.283202e+03 4.958609e+01 5.266133e+01
52 8.879964e-02 8.497111e+00 1.210719e+01 8.703587e+01 1.267528e+03 4.962168e+01 5.258148e+01
53 9.050260e-02 8.652804e+00 1.236430e+01 8.847362e+01 1.253525e+03 4.974897e+01 5.316723e+01
54 9.220380e-02 8.808072e+00 1.262281e+01 9.008691e+01 1.244745e+03 4.979559e+01 5.292841e+01
55 9.390323e-02 8.962915e+00 1.289978e+01 9.154974e+01 1.232225e+03 4.996913e+01 5.315729e+01
56 9.560088e-02 9.117332e+00 1.358845e+01 9.393795e+01 1.217645e+03 4.997295e+01 5.379882e+01
57 9.729672e-02 9.271325e+00 1.380552e+01 9.516800e+01 1.207869e+03 5.021136e+01 5.383268e+01
58 9.899076e-02 9.424892e+00 1.370071e+01 9.621809e+01 1.203348e+03 5.030733e+01 5.399270e+01
59 1.006830e-01 9.578034e+00 1.386628e+01 9.742223e+01 1.197470e+03 5.042956e+01 5.414059e+01
60 1.023733e-01 9.730752e+00 1.370768e+01 9.830081e+01 1.200775e+03 5.055886e+01 5.429613e+01
61 1.040618e-01 9.883044e+00 1.402966e+01 9.966145e+01 1.194198e+03 5.068819e+01 5.399583e+01
62 1.057485e-01 1.003491e+01 1.472792e+01 1.014697e+02 1.185328e+03 5.081183e+01 5.484086e+01
63 1.074333e-01 1.018635e+01 1.495120e+01 1.024614e+02 1.181195e+03 5.090637e+01 5.465849e+01
64 1.091161e-01 1.033737e+01 1.442624e+01 1.031147e+02 1.186716e+03 5.101387e+01 5.519639e+01
65 1.107971e-01 1.048797e+01 1.431039e+01 1.040261e+02 1.190616e+03 5.119570e+01 5.515128e+01
66 1.124762e-01 1.063814e+01 1.461177e+01 1.051562e+02 1.185133e+03 5.129048e+01 5.490804e+01
67 1.141533e-01 1.078788e+01 1.535386e+01 1.063033e+02 1.179275e+03 5.141589e+01 5.505881e+01
68 1.158285e-01 1.093720e+01 1.484551e+01 1.069386e+02 1.186423e+03 5.161675e+01 5.575456e+01
69 1.175017e-01 1.108610e+01 1.462523e+01 1.077931e+02 1.192715e+03 5.178298e+01 5.541198e+01
70 1.191730e-01 1.123458e+01 1.483322e+01 1.087354e+02 1.189304e+03 5.189355e+01 5.553949e+01
71 1.208423e-01 1.138263e+01 1.510966e+01 1.094321e+02 1.190492e+03 5.206745e+01 5.583788e+01
72 1.225096e-01 1.153026e+01 1.476218e+01 1.101834e+02 1.199668e+03 5.217267e+01 5.589708e+01
