# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.231226e+00 5.684342e-14 7.167821e+03 4.198194e+01 4.516437e+01
2 1.770244e-03 1.768678e-01 1.267934e+00 1.343416e+00 7.022728e+03 4.265533e+01 4.523268e+01
3 3.539646e-03 3.533389e-01 1.303550e+00 2.670866e+00 6.810334e+03 4.311834e+01 4.515648e+01
4 5.308184e-03 5.294120e-01 1.340112e+00 3.975813e+00 6.618985e+03 4.350765e+01 4.510217e+01
5 7.075837e-03 7.050863e-01 1.380005e+00 5.267245e+00 6.429046e+03 4.389567e+01 4.506849e+01
6 8.842586e-03 8.803605e-01 1.420417e+00 6.532794e+00 6.224084e+03 4.423065e+01 4.523635e+01
7 1.060841e-02 1.055234e+00 1.463481e+00 7.782195e+00 6.008028e+03 4.452527e+01 4.554317e+01
8 1.237328e-02 1.229705e+00 1.538615e+00 9.228177e+00 5.768007e+03 4.639571e+01 4.577482e+01
9 1.413719e-02 1.403773e+00 1.611970e+00 1.065466e+01 5.467305e+03 4.754462e+01 4.587308e+01
10 1.590012e-02 1.577438e+00 1.676768e+00 1.199389e+01 5.173129e+03 4.823325e+01 4.576380e+01
11 1.766203e-02 1.750697e+00 1.744504e+00 1.331737e+01 4.950847e+03 4.883555e+01 4.604100e+01
12 1.942292e-02 1.923551e+00 1.804028e+00 1.452853e+01 4.787060e+03 4.916736e+01 4.612205e+01
13 2.118276e-02 2.095998e+00 1.871282e+00 1.582418e+01 4.618826e+03 4.944799e+01 4.636271e+01
14 2.294153e-02 2.268037e+00 1.934601e+00 1.712400e+01 4.479731e+03 4.952757e+01 4.640229e+01
15 2.469921e-02 2.439668e+00 1.999630e+00 1.840840e+01 4.352164e+03 4.938119e+01 4.648523e+01
16 2.645579e-02 2.610890e+00 2.060694e+00 1.962264e+01 4.222857e+03 4.613642e+01 4.632375e+01
17 2.821124e-02 2.781702e+00 2.760195e+00 2.691422e+01 3.224126e+03 4.320169e+01 4.711681e+01
18 2.996555e-02 2.952103e+00 2.913236e+00 2.876617e+01 3.094245e+03 4.365115e+01 4.622100e+01
19 3.171869e-02 3.122092e+00 3.059596e+00 3.050565e+01 2.988314e+03 4.384070e+01 4.681100e+01
20 3.347064e-02 3.291670e+00 3.229039e+00 3.231297e+01 2.886695e+03 4.442089e+01 4.798730e+01
21 3.522139e-02 3.460834e+00 3.378182e+00 3.391507e+01 2.795992e+03 4.423847e+01 4.718176e+01
22 3.697092e-02 3.629584e+00 3.540441e+00 3.552252e+01 2.709527e+03 4.441314e+01 4.726686e+01
23 3.871921e-02 3.797920e+00 3.690174e+00 3.716089e+01 2.638424e+03 4.467399e+01 4.733327e+01
24 4.046623e-02 3.965841e+00 3.889652e+00 3.882803e+01 2.560629e+03 4.483761e+01 4.770796e+01
25 4.221198e-02 4.133346e+00 4.073380e+00 4.048769e+01 2.490747e+03 4.514353e+01 4.786977e+01
26 4.395643e-02 4.300435e+00 4.324702e+00 4.221683e+01 2.415466e+03 4.559881e+01 4.826889e+01
27 4.569957e-02 4.467107e+00 4.516416e+00 4.355597e+01 2.344594e+03 4.548641e+01 4.857961e+01
28 4.744137e-02 4.633362e+00 4.716449e+00 4.527133e+01 2.282374e+03 4.557044e+01 4.871395e+01
29 4.918182e-02 4.799198e+00 4.932592e+00 4.726263e+01 2.228809e+03 4.601741e+01 4.885375e+01
30 5.092090e-02 4.964616e+00 5.151463e+00 4.894574e+01 2.170161e+03 4.627513e+01 4.890097e+01
31 5.265859e-02 5.129615e+00 5.371353e+00 5.029022e+01 2.108841e+03 4.637592e+01 4.956533e+01
32 5.439488e-02 5.294194e+00 5.615883e+00 5.189093e+01 2.050450e+03 4.683032e+01 4.978816e+01
33 5.612975e-02 5.458354e+00 5.906958e+00 5.330114e+01 1.990738e+03 4.694564e+01 5.041751e+01
34 5.786317e-02 5.622093e+00 6.176742e+00 5.501870e+01 1.938345e+03 4.708101e+01 5.082693e+01
35 5.959514e-02 5.785411e+00 6.448406e+00 5.678458e+01 1.888294e+03 4.730542e+01 5.095631e+01
36 6.132563e-02 5.948307e+00 6.744487e+00 5.849940e+01 1.837740e+03 4.778396e+01 5.089609e+01
37 6.305464e-02 6.110782e+00 7.117282e+00 5.997308e+01 1.784188e+03 4.776474e+01 5.029759e+01
38 6.478213e-02 6.272835e+00 7.399088e+00 6.174149e+01 1.740368e+03 4.781684e+01 5.061509e+01
39 6.650810e-02 6.434466e+00 7.705242e+00 6.350805e+01 1.695473e+03 4.792757e+01 5.076127e+01
40 6.823253e-02 6.595674e+00 8.016505e+00 6.531770e+01 1.653346e+03 4.787965e+01 5.104411e+01
41 6.995540e-02 6.756459e+00 8.344582e+00 6.702529e+01 1.611476e+03 4.805429e+01 5.109997e+01
42 7.167669e-02 6.916821e+00 8.678059e+00 6.871641e+01 1.570580e+03 4.832688e+01 5.118669e+01
43 7.339640e-02 7.076759e+00 9.010694e+00 7.038199e+01 1.532604e+03 4.872829e+01 5.128461e+01
44 7.511450e-02 7.236274e+00 9.343422e+00 7.208974e+01 1.498121e+03 4.888125e+01 5.141773e+01
45 7.683098e-02 7.395364e+00 9.687689e+00 7.388765e+01 1.466935e+03 4.887611e+01 5.171138e+01
46 7.854582e-02 7.554030e+00 1.003462e+01 7.571143e+01 1.439360e+03 4.887651e+01 5.205899e+01
47 8.025901e-02 7.712272e+00 1.043976e+01 7.811916e+01 1.415637e+03 4.909353e+01 5.294291e+01
48 8.197054e-02 7.870090e+00 1.080460e+01 7.977334e+01 1.390996e+03 4.912363e+01 5.318677e+01
49 8.368038e-02 8.027482e+00 1.084605e+01 8.097794e+01 1.370970e+03 4.927865e+01 5.196734e+01
50 8.538852e-02 8.184450e+00 1.112006e+01 8.252119e+01 1.350646e+03 4.941084e+01 5.215250e+01
51 8.709494e-02 8.340993e+00 1.140032e+01 8.404782e+01 1.331787e+03 4.954129e+01 5.269069e+01
52 8.879964e-02 8.497111e+00 1.164951e+01 8.550338e+01 1.314582e+03 4.961965e+01 5.294629e+01
53 9.050260e-02 8.652804e+00 1.184787e+01 8.700593e+01 1.303139e+03 4.988304e+01 5.294551e+01
54 9.220380e-02 8.808072e+00 1.214234e+01 8.856444e+01 1.288274e+03 4.990195e+01 5.293592e+01
55 9.390323e-02 8.962915e+00 1.242913e+01 9.005957e+01 1.274407e+03 4.987958e+01 5.322741e+01
56 9.560088e-02 9.117332e+00 1.308683e+01 9.240267e+01 1.260111e+03 4.991933e+01 5.386572e+01
57 9.729672e-02 9.271325e+00 1.331534e+01 9.363393e+01 1.248491e+03 5.019727e+01 5.390668e+01
58 9.899076e-02 9.424892e+00 1.318756e+01 9.466157e+01 1.243239e+03 5.027031e+01 5.403711e+01
59 1.006830e-01 9.578034e+00 1.332236e+01 9.587781e+01 1.236886e+03 5.037578e+01 5.428379e+01
60 1.023733e-01 9.730752e+00 1.325776e+01 9.689695e+01 1.236680e+03 5.052135e+01 5.434187e+01
61 1.040618e-01 9.883044e+00 1.364788e+01 9.837664e+01 1.228227e+03 5.056141e+01 5.420180e+01
62 1.057485e-01 1.003491e+01 1.426363e+01 9.999913e+01 1.219731e+03 5.078914e+01 5.453688e+01
63 1.074333e-01 1.018635e+01 1.448800e+01 1.009464e+02 1.215107e+03 5.089085e+01 5.474107e+01
64 1.091161e-01 1.033737e+01 1.402852e+01 1.017754e+02 1.218580e+03 5.099795e+01 5.515118e+01
65 1.107971e-01 1.048797e+01 1.390392e+01 1.027647e+02 1.220871e+03 5.121131e+01 5.519773e+01
66 1.124762e-01 1.063814e+01 1.422596e+01 1.038903e+02 1.214271e+03 5.125540e+01 5.498598e+01
67 1.141533e-01 1.078788e+01 1.484362e+01 1.049361e+02 1.208907e+03 5.146550e+01 5.501310e+01
68 1.158285e-01 1.093720e+01 1.442841e+01 1.056645e+02 1.215810e+03 5.154430e+01 5.580761e+01
69 1.175017e-01 1.108610e+01 1.424513e+01 1.066313e+02 1.219636e+03 5.170837e+01 5.555122e+01
70 1.191730e-01 1.123458e+01 1.448578e+01 1.076253e+02 1.214654e+03 5.186773e+01 5.559587e+01
71 1.208423e-01 1.138263e+01 1.504167e+01 1.082572e+02 1.210555e+03 5.206763e+01 5.556967e+01
72 1.225096e-01 1.153026e+01 1.477258e+01 1.089381e+02 1.217868e+03 5.222670e+01 5.599226e+01
73 1.241749e-01 1.167746e+01 1.453762e+01 1.099856e+02 1.221554e+03 5.229383e+01 5.601173e+01
74 1.258382e-01 1.182425e+01 1.505291e+01 1.104981e+02 1.217048e+03 5.248132e+01 5.575509e+01
75 1.274994e-01 1.197061e+01 1.493476e+01 1.110453e+02 1.223745e+03 5.263223e+01 5.609780e+01
76 1.291587e-01 1.211655e+01 1.457666e+01 1.119538e+02 1.232871e+03 5.269990e+01 5.650534e+01
77 1.308158e-01 1.226207e+01 1.366042e+01 1.091192e+02 1.317083e+03 5.316389e+01 5.542798e+01
78 1.324710e-01 1.240716e+01 1.389004e+01 1.101050e+02 1.312169e+03 5.381953e+01 5.539188e+01
79 1.341240e-01 1.255184e+01 1.401539e+01 1.109670e+02 1.309382e+03 5.410603e+01 5.544434e+01
80 1.357750e-01 1.269610e+01 1.406776e+01 1.117281e+02 1.308747e+03 5.426687e+01 5.556355e+01
81 1.374239e-01 1.283994e+01 1.417789e+01 1.124828e+02 1.306016e+03 5.463766e+01 5.558152e+01
82 1.390707e-01 1.298335e+01 1.422025e+01 1.131420e+02 1.305863e+03 5.478913e+01 5.567080e+01
83 1.407154e-01 1.312635e+01 1.425436e+01 1.137653e+02 1.305834e+03 5.488061e+01 5.575522e+01
84 1.423580e-01 1.326893e+01 1.427898e+01 1.143764e+02 1.305938e+03 5.504208e+01 5.582689e+01
85 1.439985e-01 1.341110e+01 1.427489e+01 1.149943e+02 1.308350e+03 5.510972e+01 5.598114e+01
86 1.456368e-01 1.355284e+01 1.429204e+01 1.155732e+02 1.308568e+03 5.533809e+01 5.603308e+01
87 1.472730e-01 1.369417e+01 1.429398e+01 1.161476e+02 1.310987e+03 5.545491e+01 5.616917e+01
88 1.489070e-01 1.383508e+01 1.429581e+01 1.167034e+02 1.311640e+03 5.564225e+01 5.621187e+01
89 1.505389e-01 1.397557e+01 1.429201e+01 1.172731e+02 1.313885e+03 5.570930e+01 5.632121e+01
90 1.521686e-01 1.411565e+01 1.429751e+01 1.178320e+02 1.316765e+03 5.574970e+01 5.647015e+01
91 1.537961e-01 1.425532e+01 1.428677e+01 1.183685e+02 1.319039e+03 5.587908e+01 5.656276e+01
92 1.554215e-01 1.439457e+01 1.429557e+01 1.188913e+02 1.322173e+03 5.591866e+01 5.671309e+01
93 1.570446e-01 1.453341e+01 1.429895e+01 1.193972e+02 1.324718e+03 5.598312e+01 5.683642e+01
94 1.586655e-01 1.467183e+01 1.428653e+01 1.199063e+02 1.327381e+03 5.608436e+01 5.693639e+01
95 1.602843e-01 1.480984e+01 1.426703e+01 1.203886e+02 1.330345e+03 5.621299e+01 5.702471e+01
96 1.619007e-01 1.494744e+01 1.425437e+01 1.208805e+02 1.333117e+03 5.629396e+01 5.712552e+01
97 1.635150e-01 1.508463e+01 1.423863e+01 1.213804e+02 1.335913e+03 5.644000e+01 5.721315e+01
98 1.651271e-01 1.522140e+01 1.421243e+01 1.218350e+02 1.338949e+03 5.656255e+01 5.730083e+01
99 1.667369e-01 1.535777e+01 1.421603e+01 1.222698e+02 1.341616e+03 5.663081e+01 5.742641e+01
100 1.683444e-01 1.549373e+01 1.418111e+01 1.227506e+02 1.344612e+03 5.674629e+01 5.767251e+01
101 1.699497e-01 1.562927e+01 1.413870e+01 1.232335e+02 1.348422e+03 5.690135e+01 5.772583e+01
102 1.715527e-01 1.576441e+01 1.412936e+01 1.236425e+02 1.351556e+03 5.698366e+01 5.783498e+01
103 1.731535e-01 1.589914e+01 1.407933e+01 1.240157e+02 1.355238e+03 5.715446e+01 5.803783e+01
104 1.747519e-01 1.603347e+01 1.405807e+01 1.243864e+02 1.358843e+03 5.727088e+01 5.811616e+01
105 1.763481e-01 1.616739e+01 1.405285e+01 1.247788e+02 1.361975e+03 5.735900e+01 5.822927e+01
106 1.779420e-01 1.630090e+01 1.402733e+01 1.251232e+02 1.365142e+03 5.747367e+01 5.847745e+01
107 1.795336e-01 1.643401e+01 1.400175e+01 1.254436e+02 1.368980e+03 5.759204e+01 5.854166e+01
108 1.811229e-01 1.656672e+01 1.399408e+01 1.258121e+02 1.372079e+03 5.765135e+01 5.865839e+01
109 1.827099e-01 1.669902e+01 1.397711e+01 1.261436e+02 1.375542e+03 5.773834e+01 5.875054e+01
110 1.842946e-01 1.683092e+01 1.396483e+01 1.264560e+02 1.379020e+03 5.780789e+01 5.884804e+01
111 1.858769e-01 1.696242e+01 1.395087e+01 1.267716e+02 1.382517e+03 5.791463e+01 5.894238e+01
112 1.874569e-01 1.709352e+01 1.393887e+01 1.270686e+02 1.385805e+03 5.799185e+01 5.903113e+01
113 1.890346e-01 1.722421e+01 1.392784e+01 1.273675e+02 1.388752e+03 5.806481e+01 5.929575e+01
114 1.906100e-01 1.735451e+01 1.391268e+01 1.276418e+02 1.392123e+03 5.814612e+01 5.938264e+01
115 1.921830e-01 1.748441e+01 1.390460e+01 1.279243e+02 1.395219e+03 5.822309e+01 5.947877e+01
