# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.236267e+00 5.684342e-14 6.499239e+03 4.500000e+01 4.512215e+01
2 1.770244e-03 1.768678e-01 1.270256e+00 1.348871e+00 6.263546e+03 4.510143e+01 4.522358e+01
3 3.539646e-03 3.533389e-01 1.303198e+00 2.673627e+00 6.066966e+03 4.520281e+01 4.532496e+01
4 5.308184e-03 5.294120e-01 1.337836e+00 3.972547e+00 5.894333e+03 4.530413e+01 4.542628e+01
5 7.075837e-03 7.050863e-01 1.374274e+00 5.246797e+00 5.739140e+03 4.540540e+01 4.552755e+01
6 8.842586e-03 8.803605e-01 1.412613e+00 6.497373e+00 5.596834e+03 4.550662e+01 4.562876e+01
7 1.060841e-02 1.055234e+00 1.452968e+00 7.725085e+00 5.464443e+03 4.560777e+01 4.572991e+01
8 1.237328e-02 1.229705e+00 1.495452e+00 8.930562e+00 5.339843e+03 4.570886e+01 4.583100e+01
9 1.413719e-02 1.403773e+00 1.540195e+00 1.011425e+01 5.221390e+03 4.580989e+01 4.593202e+01
10 1.590012e-02 1.577438e+00 1.587323e+00 1.127642e+01 5.107862e+03 4.591086e+01 4.603298e+01
11 1.766203e-02 1.750697e+00 1.636982e+00 1.241718e+01 4.998442e+03 4.601175e+01 4.613386e+01
12 1.942292e-02 1.923551e+00 1.689302e+00 1.356379e+01 4.892137e+03 4.611257e+01 4.623468e+01
13 2.118276e-02 2.095998e+00 1.744440e+00 1.478143e+01 4.788786e+03 4.621332e+01 4.633542e+01
14 2.294153e-02 2.268037e+00 1.802625e+00 1.600737e+01 4.688826e+03 4.631399e+01 4.643608e+01
15 2.469921e-02 2.439668e+00 1.864049e+00 1.723662e+01 4.591558e+03 4.641459e+01 4.653666e+01
16 2.645579e-02 2.610890e+00 1.928867e+00 1.847061e+01 4.496206e+03 4.651510e+01 4.663717e+01
17 2.821124e-02 2.781702e+00 1.997214e+00 1.971071e+01 4.402478e+03 4.661553e+01 4.673758e+01
18 2.996555e-02 2.952103e+00 2.069287e+00 2.095822e+01 4.310146e+03 4.671587e+01 4.683792e+01
19 3.171869e-02 3.122092e+00 2.145290e+00 2.221443e+01 4.218985e+03 4.681613e+01 4.693816e+01
20 3.347064e-02 3.291670e+00 2.225401e+00 2.348052e+01 4.128864e+03 4.691630e+01 4.703831e+01
21 3.522139e-02 3.460834e+00 2.309902e+00 2.476328e+01 4.039946e+03 4.701637e+01 4.713837e+01
22 3.697092e-02 3.629584e+00 2.399016e+00 2.608422e+01 3.952331e+03 4.711635e+01 4.723834e+01
23 3.871921e-02 3.797920e+00 2.493065e+00 2.741591e+01 3.866001e+03 4.721623e+01 4.733820e+01
24 4.046623e-02 3.965841e+00 2.592215e+00 2.875924e+01 3.780444e+03 4.731602e+01 4.743797e+01
25 4.221198e-02 4.133346e+00 2.696739e+00 3.011430e+01 3.695562e+03 4.741570e+01 4.753764e+01
26 4.395643e-02 4.300435e+00 2.806811e+00 3.148116e+01 3.611280e+03 4.751528e+01 4.763720e+01
27 4.569957e-02 4.467107e+00 2.922740e+00 3.288854e+01 3.527769e+03 4.761475e+01 4.773665e+01
28 4.744137e-02 4.633362e+00 3.044734e+00 3.433598e+01 3.445033e+03 4.771412e+01 4.783600e+01
29 4.918182e-02 4.799198e+00 3.173213e+00 3.579700e+01 3.363293e+03 4.781338e+01 4.793524e+01
30 5.092090e-02 4.964616e+00 3.308218e+00 3.727140e+01 3.282220e+03 4.791252e+01 4.803436e+01
31 5.265859e-02 5.129615e+00 3.450151e+00 3.875845e+01 3.201921e+03 4.801155e+01 4.813337e+01
32 5.439488e-02 5.294194e+00 3.599137e+00 4.025734e+01 3.122429e+03 4.811047e+01 4.823226e+01
33 5.612975e-02 5.458354e+00 3.755404e+00 4.181127e+01 3.043966e+03 4.820926e+01 4.833103e+01
34 5.786317e-02 5.622093e+00 3.919042e+00 4.339034e+01 2.966546e+03 4.830794e+01 4.842969e+01
35 5.959514e-02 5.785411e+00 4.089998e+00 4.498010e+01 2.890241e+03 4.840649e+01 4.852822e+01
36 6.132563e-02 5.948307e+00 4.269082e+00 4.657887e+01 2.813379e+03 4.850492e+01 4.887001e+01
37 6.305464e-02 6.110782e+00 4.456704e+00 4.818943e+01 2.739676e+03 4.860323e+01 4.896823e+01
38 6.478213e-02 6.272835e+00 4.651877e+00 4.983554e+01 2.667414e+03 4.870140e+01 4.906633e+01
39 6.650810e-02 6.434466e+00 4.854386e+00 5.151684e+01 2.595144e+03 4.879945e+01 4.940750e+01
40 6.823253e-02 6.595674e+00 5.066655e+00 5.320401e+01 2.526140e+03 4.889736e+01 4.950527e+01
41 6.995540e-02 6.756459e+00 5.286581e+00 5.489936e+01 2.458905e+03 4.899514e+01 4.960291e+01
42 7.167669e-02 6.916821e+00 5.513786e+00 5.659437e+01 2.392209e+03 4.909278e+01 4.994342e+01
43 7.339640e-02 7.076759e+00 5.751101e+00 5.831624e+01 2.328859e+03 4.919028e+01 5.004072e+01
44 7.511450e-02 7.236274e+00 5.995340e+00 6.007233e+01 2.267551e+03 4.928765e+01 5.013787e+01
45 7.683098e-02 7.395364e+00 6.247502e+00 6.182210e+01 2.207284e+03 4.938487e+01 5.047767e+01
46 7.854582e-02 7.554030e+00 6.508692e+00 6.357271e+01 2.150470e+03 4.948195e+01 5.057446e+01
47 8.025901e-02 7.712272e+00 6.775298e+00 6.531556e+01 2.095911e+03 4.957888e+01 5.067110e+01
48 8.197054e-02 7.870090e+00 7.052241e+00 6.708023e+01 2.042778e+03 4.967567e+01 5.101016e+01
