# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.231226e+00 5.684342e-14 7.167821e+03 4.198194e+01 4.516437e+01
2 1.770244e-03 1.768678e-01 1.268165e+00 1.345616e+00 7.027137e+03 4.265533e+01 4.523268e+01
3 3.539646e-03 3.533389e-01 1.303998e+00 2.675881e+00 6.817618e+03 4.311834e+01 4.515648e+01
4 5.308184e-03 5.294120e-01 1.340782e+00 3.984164e+00 6.627775e+03 4.350765e+01 4.510217e+01
5 7.075837e-03 7.050863e-01 1.380973e+00 5.279792e+00 6.439062e+03 4.389999e+01 4.506160e+01
6 8.842586e-03 8.803605e-01 1.421582e+00 6.549473e+00 6.232343e+03 4.423065e+01 4.523635e+01
7 1.060841e-02 1.055234e+00 1.464837e+00 7.802985e+00 6.013720e+03 4.452035e+01 4.555632e+01
8 1.237328e-02 1.229705e+00 1.541002e+00 9.260797e+00 5.777400e+03 4.644792e+01 4.571958e+01
9 1.413719e-02 1.403773e+00 1.614641e+00 1.069438e+01 5.467066e+03 4.757522e+01 4.583663e+01
10 1.590012e-02 1.577438e+00 1.680254e+00 1.204445e+01 5.164071e+03 4.825233e+01 4.571422e+01
11 1.766203e-02 1.750697e+00 1.747495e+00 1.336785e+01 4.949792e+03 4.887151e+01 4.606250e+01
12 1.942292e-02 1.923551e+00 1.807093e+00 1.461026e+01 4.786238e+03 4.917183e+01 4.616796e+01
13 2.118276e-02 2.095998e+00 1.875171e+00 1.596788e+01 4.604864e+03 4.943387e+01 4.622694e+01
14 2.294153e-02 2.268037e+00 1.938169e+00 1.726274e+01 4.466447e+03 4.938587e+01 4.629291e+01
15 2.469921e-02 2.439668e+00 2.004885e+00 1.855959e+01 4.331636e+03 4.921932e+01 4.634094e+01
16 2.645579e-02 2.610890e+00 2.639185e+00 2.531166e+01 3.329737e+03 4.341127e+01 4.634255e+01
17 2.821124e-02 2.781702e+00 2.776247e+00 2.716560e+01 3.199942e+03 4.315581e+01 4.740756e+01
18 2.996555e-02 2.952103e+00 2.932647e+00 2.903679e+01 3.069373e+03 4.364528e+01 4.652616e+01
19 3.171869e-02 3.122092e+00 3.083439e+00 3.080000e+01 2.961941e+03 4.383726e+01 4.676044e+01
20 3.347064e-02 3.291670e+00 3.255889e+00 3.263250e+01 2.861593e+03 4.424324e+01 4.808702e+01
21 3.522139e-02 3.460834e+00 3.409240e+00 3.420845e+01 2.767446e+03 4.424650e+01 4.716581e+01
22 3.697092e-02 3.629584e+00 3.573603e+00 3.582174e+01 2.680635e+03 4.440871e+01 4.732984e+01
23 3.871921e-02 3.797920e+00 3.767764e+00 3.749218e+01 2.597677e+03 4.458847e+01 4.768296e+01
24 4.046623e-02 3.965841e+00 3.940833e+00 3.914906e+01 2.527189e+03 4.480215e+01 4.796249e+01
25 4.221198e-02 4.133346e+00 4.183467e+00 4.092401e+01 2.451208e+03 4.501374e+01 4.848823e+01
26 4.395643e-02 4.300435e+00 4.382772e+00 4.250586e+01 2.380179e+03 4.558658e+01 4.857938e+01
27 4.569957e-02 4.467107e+00 4.579687e+00 4.387797e+01 2.307829e+03 4.545281e+01 4.857811e+01
28 4.744137e-02 4.633362e+00 4.804849e+00 4.524031e+01 2.238563e+03 4.556295e+01 4.924959e+01
29 4.918182e-02 4.799198e+00 5.008993e+00 4.753332e+01 2.190700e+03 4.619325e+01 4.911457e+01
30 5.092090e-02 4.964616e+00 5.227545e+00 4.889193e+01 2.127316e+03 4.609751e+01 4.948126e+01
31 5.265859e-02 5.129615e+00 5.466989e+00 5.051624e+01 2.068689e+03 4.666195e+01 4.980563e+01
32 5.439488e-02 5.294194e+00 5.753615e+00 5.187150e+01 2.005712e+03 4.670882e+01 5.039976e+01
