# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.597470e+00 0.000000e+00 4.995896e+03 4.595803e+01 4.574018e+01
2 1.770244e-03 1.768678e-01 1.658307e+00 2.068157e+00 4.890818e+03 4.605940e+01 4.584156e+01
3 3.539646e-03 3.533389e-01 1.719254e+00 3.947229e+00 4.750973e+03 4.616070e+01 4.594287e+01
4 5.308184e-03 5.294120e-01 1.783397e+00 5.850553e+00 4.604899e+03 4.626194e+01 4.604413e+01
5 7.075837e-03 7.050863e-01 1.850793e+00 7.709455e+00 4.458202e+03 4.636311e+01 4.614532e+01
6 8.842586e-03 8.803605e-01 1.921548e+00 9.526052e+00 4.313627e+03 4.646422e+01 4.624644e+01
7 1.060841e-02 1.055234e+00 1.995825e+00 1.130214e+01 4.172964e+03 4.656525e+01 4.634750e+01
8 1.237328e-02 1.229705e+00 2.073816e+00 1.303931e+01 4.037090e+03 4.666621e+01 4.644848e+01
9 1.413719e-02 1.403773e+00 2.155768e+00 1.473901e+01 3.906144e+03 4.676709e+01 4.654938e+01
10 1.590012e-02 1.577438e+00 2.241961e+00 1.641078e+01 3.780166e+03 4.686790e+01 4.665021e+01
11 1.766203e-02 1.750697e+00 2.332718e+00 1.810823e+01 3.659079e+03 4.696862e+01 4.675096e+01
12 1.942292e-02 1.923551e+00 2.428681e+00 1.978836e+01 3.541287e+03 4.706926e+01 4.685163e+01
13 2.118276e-02 2.095998e+00 2.529796e+00 2.145440e+01 3.429280e+03 4.716982e+01 4.695221e+01
14 2.294153e-02 2.268037e+00 2.634827e+00 2.313782e+01 3.326455e+03 4.727029e+01 4.705271e+01
15 2.469921e-02 2.439668e+00 2.743576e+00 2.481915e+01 3.230745e+03 4.737066e+01 4.715312e+01
16 2.645579e-02 2.610890e+00 2.857817e+00 2.649051e+01 3.138869e+03 4.747095e+01 4.725344e+01
17 2.821124e-02 2.781702e+00 2.978276e+00 2.815339e+01 3.050027e+03 4.757114e+01 4.735366e+01
18 2.996555e-02 2.952103e+00 3.135504e+00 2.980944e+01 2.911193e+03 4.448876e+01 4.610087e+01
19 3.171869e-02 3.122092e+00 3.270553e+00 3.146552e+01 2.830407e+03 4.458919e+01 4.620135e+01
20 3.347064e-02 3.291670e+00 3.412520e+00 3.312503e+01 2.752599e+03 4.468957e+01 4.676203e+01
21 3.522139e-02 3.460834e+00 3.559062e+00 3.478769e+01 2.678111e+03 4.478987e+01 4.732238e+01
22 3.697092e-02 3.629584e+00 3.709983e+00 3.648236e+01 2.606314e+03 4.489011e+01 4.742264e+01
23 3.871921e-02 3.797920e+00 3.866029e+00 3.818557e+01 2.538436e+03 4.499028e+01 4.752282e+01
24 4.046623e-02 3.965841e+00 4.033140e+00 3.988918e+01 2.506914e+03 4.826964e+01 4.805243e+01
25 4.221198e-02 4.133346e+00 4.219017e+00 4.159319e+01 2.438030e+03 4.836899e+01 4.815183e+01
26 4.395643e-02 4.300435e+00 4.417388e+00 4.329880e+01 2.368988e+03 4.846823e+01 4.825111e+01
27 4.569957e-02 4.467107e+00 4.626407e+00 4.500730e+01 2.303640e+03 4.856735e+01 4.878442e+01
28 4.744137e-02 4.633362e+00 4.846363e+00 4.676671e+01 2.237543e+03 4.866635e+01 4.888338e+01
29 4.918182e-02 4.799198e+00 4.910216e+00 4.847899e+01 2.200089e+03 4.902386e+01 4.882677e+01
30 5.092090e-02 4.964616e+00 5.148442e+00 5.026257e+01 2.136505e+03 4.912249e+01 4.892546e+01
31 5.265859e-02 5.129615e+00 5.401596e+00 5.204788e+01 2.073656e+03 4.922100e+01 4.902401e+01
32 5.439488e-02 5.294194e+00 5.669871e+00 5.383486e+01 2.013326e+03 4.931938e+01 4.951632e+01
33 5.612975e-02 5.458354e+00 5.949468e+00 5.562538e+01 1.953951e+03 4.941763e+01 4.961451e+01
34 5.786317e-02 5.622093e+00 6.241031e+00 5.747177e+01 1.897019e+03 4.951574e+01 4.971257e+01
35 5.959514e-02 5.785411e+00 6.544569e+00 5.931475e+01 1.842394e+03 4.961372e+01 4.981050e+01
36 6.132563e-02 5.948307e+00 6.862010e+00 6.115082e+01 1.789287e+03 4.971156e+01 4.990828e+01
37 6.305464e-02 6.110782e+00 7.189218e+00 6.297752e+01 1.738703e+03 4.980926e+01 5.000592e+01
38 6.478213e-02 6.272835e+00 7.525445e+00 6.478986e+01 1.689978e+03 4.990682e+01 5.010343e+01
39 6.650810e-02 6.434466e+00 7.872653e+00 6.662367e+01 1.642896e+03 5.000423e+01 5.020078e+01
40 6.823253e-02 6.595674e+00 8.227145e+00 6.845707e+01 1.598388e+03 5.010150e+01 5.029799e+01
41 6.995540e-02 6.756459e+00 8.590730e+00 7.026530e+01 1.555660e+03 5.019862e+01 5.039505e+01
42 7.167669e-02 6.916821e+00 8.959724e+00 7.204490e+01 1.514888e+03 5.029560e+01 5.049197e+01
43 7.339640e-02 7.076759e+00 9.328017e+00 7.379118e+01 1.477092e+03 5.039242e+01 5.058873e+01
44 7.511450e-02 7.236274e+00 9.695089e+00 7.552772e+01 1.442108e+03 5.048909e+01 5.068533e+01
45 7.683098e-02 7.395364e+00 1.005664e+01 7.726687e+01 1.409953e+03 5.058560e+01 5.078178e+01
46 7.854582e-02 7.554030e+00 1.040634e+01 7.912973e+01 1.380759e+03 5.068196e+01 5.087808e+01
47 8.025901e-02 7.712272e+00 1.074346e+01 8.095444e+01 1.354043e+03 5.077817e+01 5.097421e+01
48 8.197054e-02 7.870090e+00 1.106306e+01 8.273567e+01 1.329910e+03 5.087421e+01 5.107019e+01
49 8.368038e-02 8.027482e+00 1.136522e+01 8.449578e+01 1.307787e+03 5.097009e+01 5.116600e+01
50 8.538852e-02 8.184450e+00 1.168598e+01 8.623358e+01 1.300218e+03 5.358628e+01 5.340129e+01
51 8.709494e-02 8.340993e+00 1.207186e+01 8.791467e+01 1.280263e+03 5.367964e+01 5.349475e+01
52 8.879964e-02 8.497111e+00 1.245018e+01 8.953512e+01 1.261860e+03 5.377282e+01 5.358802e+01
53 9.050260e-02 8.652804e+00 1.281436e+01 9.109187e+01 1.245270e+03 5.386580e+01 5.368110e+01
54 9.220380e-02 8.808072e+00 1.316423e+01 9.261128e+01 1.230334e+03 5.395860e+01 5.377399e+01
55 9.390323e-02 8.962915e+00 1.349608e+01 9.408781e+01 1.217059e+03 5.405120e+01 5.386668e+01
56 9.560088e-02 9.117332e+00 1.380667e+01 9.549250e+01 1.205392e+03 5.414360e+01 5.395919e+01
57 9.729672e-02 9.271325e+00 1.409327e+01 9.682272e+01 1.195425e+03 5.423581e+01 5.405149e+01
58 9.899076e-02 9.424892e+00 1.435481e+01 9.807625e+01 1.187100e+03 5.432782e+01 5.414360e+01
59 1.006830e-01 9.578034e+00 1.459297e+01 9.928687e+01 1.180074e+03 5.441963e+01 5.423551e+01
60 1.023733e-01 9.730752e+00 1.480974e+01 1.004519e+02 1.174146e+03 5.451124e+01 5.432723e+01
61 1.040618e-01 9.883044e+00 1.500741e+01 1.016012e+02 1.169104e+03 5.460266e+01 5.441874e+01
62 1.057485e-01 1.003491e+01 1.518241e+01 1.026767e+02 1.165162e+03 5.469386e+01 5.451005e+01
63 1.074333e-01 1.018635e+01 1.533844e+01 1.036789e+02 1.162034e+03 5.478487e+01 5.460116e+01
64 1.091161e-01 1.033737e+01 1.547391e+01 1.046490e+02 1.159829e+03 5.487567e+01 5.469207e+01
65 1.107971e-01 1.048797e+01 1.559078e+01 1.056083e+02 1.158660e+03 5.496627e+01 5.514977e+01
66 1.124762e-01 1.063814e+01 1.568795e+01 1.065241e+02 1.158130e+03 5.505665e+01 5.524005e+01
67 1.141533e-01 1.078788e+01 1.576713e+01 1.073735e+02 1.158391e+03 5.514683e+01 5.533012e+01
68 1.158285e-01 1.093720e+01 1.582756e+01 1.081640e+02 1.159467e+03 5.523680e+01 5.541999e+01
69 1.175017e-01 1.108610e+01 1.587334e+01 1.089913e+02 1.161026e+03 5.532656e+01 5.550964e+01
70 1.191730e-01 1.123458e+01 1.590284e+01 1.097673e+02 1.163281e+03 5.541611e+01 5.559908e+01
71 1.208423e-01 1.138263e+01 1.593628e+01 1.104855e+02 1.165949e+03 5.550545e+01 5.567368e+01
72 1.225096e-01 1.153026e+01 1.595623e+01 1.112048e+02 1.168273e+03 5.559458e+01 5.576270e+01
73 1.241749e-01 1.167746e+01 1.596406e+01 1.119743e+02 1.171059e+03 5.568349e+01 5.585151e+01
74 1.258382e-01 1.182425e+01 1.597026e+01 1.127334e+02 1.175709e+03 5.577218e+01 5.592767e+01
75 1.274994e-01 1.197061e+01 1.597122e+01 1.134472e+02 1.178599e+03 5.586066e+01 5.601605e+01
76 1.291587e-01 1.211655e+01 1.595980e+01 1.141092e+02 1.182029e+03 5.594892e+01 5.610422e+01
77 1.308158e-01 1.226207e+01 1.594628e+01 1.147513e+02 1.188020e+03 5.603697e+01 5.618146e+01
78 1.324710e-01 1.240716e+01 1.593121e+01 1.153694e+02 1.191471e+03 5.612479e+01 5.626920e+01
79 1.341240e-01 1.255184e+01 1.590627e+01 1.159771e+02 1.195301e+03 5.621240e+01 5.635671e+01
80 1.357750e-01 1.269610e+01 1.588049e+01 1.165475e+02 1.202064e+03 5.629979e+01 5.643470e+01
81 1.374239e-01 1.283994e+01 1.585416e+01 1.170912e+02 1.205957e+03 5.638695e+01 5.652178e+01
82 1.390707e-01 1.298335e+01 1.582027e+01 1.176265e+02 1.210151e+03 5.647390e+01 5.660864e+01
83 1.407154e-01 1.312635e+01 1.578820e+01 1.181187e+02 1.217350e+03 5.656062e+01 5.668711e+01
84 1.423580e-01 1.326893e+01 1.575576e+01 1.186003e+02 1.221463e+03 5.664711e+01 5.677353e+01
85 1.439985e-01 1.341110e+01 1.571862e+01 1.190860e+02 1.225781e+03 5.673339e+01 5.685972e+01
86 1.456368e-01 1.355284e+01 1.568303e+01 1.195546e+02 1.233207e+03 5.681944e+01 5.693847e+01
87 1.472730e-01 1.369417e+01 1.564995e+01 1.199862e+02 1.237365e+03 5.690526e+01 5.702422e+01
88 1.489070e-01 1.383508e+01 1.561308e+01 1.203841e+02 1.241658e+03 5.699086e+01 5.710974e+01
89 1.505389e-01 1.397557e+01 1.557347e+01 1.208121e+02 1.249233e+03 5.707623e+01 5.718861e+01
90 1.521686e-01 1.411565e+01 1.554077e+01 1.212303e+02 1.253354e+03 5.716137e+01 5.727368e+01
91 1.537961e-01 1.425532e+01 1.550544e+01 1.216172e+02 1.257542e+03 5.724629e+01 5.735852e+01
92 1.554215e-01 1.439457e+01 1.546824e+01 1.219980e+02 1.261823e+03 5.733098e+01 5.744313e+01
93 1.570446e-01 1.453341e+01 1.542936e+01 1.223677e+02 1.269399e+03 5.741544e+01 5.752177e+01
94 1.586655e-01 1.467183e+01 1.539635e+01 1.227142e+02 1.273585e+03 5.749967e+01 5.760592e+01
95 1.602843e-01 1.480984e+01 1.536200e+01 1.230709e+02 1.277792e+03 5.758366e+01 5.768985e+01
96 1.619007e-01 1.494744e+01 1.532635e+01 1.234388e+02 1.282010e+03 5.766743e+01 5.777354e+01
97 1.635150e-01 1.508463e+01 1.529007e+01 1.237812e+02 1.286217e+03 5.775097e+01 5.785701e+01
98 1.651271e-01 1.522140e+01 1.525325e+01 1.240991e+02 1.293784e+03 5.783428e+01 5.793507e+01
99 1.667369e-01 1.535777e+01 1.522049e+01 1.244074e+02 1.297856e+03 5.791735e+01 5.801807e+01
100 1.683444e-01 1.549373e+01 1.518711e+01 1.247404e+02 1.301905e+03 5.800019e+01 5.810085e+01
101 1.699497e-01 1.562927e+01 1.515312e+01 1.250636e+02 1.305934e+03 5.808280e+01 5.818338e+01
102 1.715527e-01 1.576441e+01 1.511872e+01 1.253656e+02 1.309934e+03 5.816518e+01 5.826569e+01
103 1.731535e-01 1.589914e+01 1.508425e+01 1.256653e+02 1.313901e+03 5.824732e+01 5.834776e+01
104 1.747519e-01 1.603347e+01 1.504958e+01 1.259578e+02 1.317865e+03 5.832923e+01 5.842960e+01
105 1.763481e-01 1.616739e+01 1.501486e+01 1.262345e+02 1.321786e+03 5.841090e+01 5.851120e+01
106 1.779420e-01 1.630090e+01 1.498182e+01 1.265254e+02 1.329486e+03 5.849234e+01 5.858790e+01
107 1.795336e-01 1.643401e+01 1.494905e+01 1.268133e+02 1.333340e+03 5.857355e+01 5.866904e+01
108 1.811229e-01 1.656672e+01 1.491613e+01 1.270967e+02 1.337151e+03 5.865452e+01 5.874994e+01
109 1.827099e-01 1.669902e+01 1.488318e+01 1.277843e+02 1.340962e+03 5.873525e+01 5.883060e+01
110 1.842946e-01 1.683092e+01 1.485020e+01 1.285192e+02 1.344752e+03 5.881575e+01 5.891103e+01
111 1.858769e-01 1.696242e+01 1.481727e+01 1.292390e+02 1.348490e+03 5.889601e+01 5.899123e+01
112 1.874569e-01 1.709352e+01 1.479548e+01 1.299512e+02 1.334680e+03 6.063668e+01 6.050246e+01
113 1.890346e-01 1.722421e+01 1.480617e+01 1.306350e+02 1.332954e+03 6.083027e+01 6.068675e+01
114 1.906100e-01 1.735451e+01 1.482111e+01 1.312908e+02 1.333417e+03 6.090704e+01 6.076364e+01
115 1.921830e-01 1.748441e+01 1.483649e+01 1.319188e+02 1.333851e+03 6.098356e+01 6.084028e+01
116 1.937536e-01 1.761392e+01 1.485815e+01 1.325192e+02 1.323740e+03 6.119314e+01 6.103918e+01
117 1.953219e-01 1.774302e+01 1.488149e+01 1.331112e+02 1.322896e+03 6.126896e+01 6.111513e+01
118 1.968879e-01 1.787173e+01 1.490388e+01 1.336926e+02 1.322055e+03 6.134453e+01 6.119083e+01
119 1.984515e-01 1.800004e+01 1.492563e+01 1.342483e+02 1.321296e+03 6.141987e+01 6.126630e+01
120 2.000127e-01 1.812796e+01 1.494655e+01 1.347787e+02 1.320662e+03 6.149496e+01 6.134152e+01
121 2.015715e-01 1.825549e+01 1.496567e+01 1.352841e+02 1.320127e+03 6.156981e+01 6.141650e+01
122 2.031280e-01 1.838262e+01 1.498384e+01 1.357649e+02 1.319787e+03 6.164442e+01 6.149124e+01
123 2.046821e-01 1.850937e+01 1.500100e+01 1.362389e+02 1.319555e+03 6.171879e+01 6.156574e+01
124 2.062338e-01 1.863572e+01 1.501551e+01 1.367048e+02 1.319396e+03 6.179292e+01 6.164000e+01
125 2.077831e-01 1.876168e+01 1.502796e+01 1.371480e+02 1.319390e+03 6.186680e+01 6.171402e+01
126 2.093301e-01 1.888725e+01 1.503887e+01 1.375689e+02 1.319426e+03 6.194045e+01 6.178779e+01
127 2.108746e-01 1.901244e+01 1.504773e+01 1.379677e+02 1.319579e+03 6.201386e+01 6.186133e+01
128 2.124167e-01 1.913723e+01 1.505426e+01 1.383448e+02 1.319904e+03 6.208702e+01 6.193463e+01
129 2.139564e-01 1.926165e+01 1.505903e+01 1.387117e+02 1.320371e+03 6.215994e+01 6.200768e+01
