# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.510743e+00 2.726479e-02 3.944669e+03 4.500000e+01 4.521430e+01
2 1.770244e-03 1.768678e-01 1.513851e+00 5.521486e-02 3.978553e+03 4.510143e+01 4.531573e+01
3 3.539646e-03 3.533389e-01 1.513500e+00 8.358898e-02 3.987269e+03 4.520281e+01 4.541711e+01
4 5.308184e-03 5.294120e-01 1.513130e+00 1.123710e-01 3.996333e+03 4.530413e+01 4.551843e+01
5 7.075837e-03 7.050863e-01 1.512748e+00 1.415453e-01 4.005869e+03 4.540540e+01 4.561969e+01
6 8.842586e-03 8.803605e-01 1.512354e+00 1.710958e-01 4.015437e+03 4.550662e+01 4.572090e+01
7 1.060841e-02 1.055234e+00 1.511950e+00 2.010052e-01 4.010609e+03 4.560777e+01 4.539349e+01
8 1.237328e-02 1.229705e+00 1.511550e+00 2.312510e-01 4.019313e+03 4.570886e+01 4.549459e+01
9 1.413719e-02 1.403773e+00 1.511139e+00 2.618230e-01 4.028481e+03 4.580989e+01 4.559563e+01
10 1.590012e-02 1.577438e+00 1.510714e+00 2.927057e-01 4.037722e+03 4.591086e+01 4.569661e+01
11 1.766203e-02 1.750697e+00 1.510277e+00 3.238934e-01 4.047231e+03 4.601175e+01 4.579751e+01
12 1.942292e-02 1.923551e+00 1.509827e+00 3.553639e-01 4.057282e+03 4.611257e+01 4.589835e+01
13 2.118276e-02 2.095998e+00 1.509363e+00 3.871001e-01 4.067829e+03 4.621332e+01 4.599911e+01
14 2.294153e-02 2.268037e+00 1.508885e+00 4.190866e-01 4.078292e+03 4.631399e+01 4.609980e+01
15 2.469921e-02 2.439668e+00 1.508393e+00 4.512910e-01 4.088948e+03 4.641459e+01 4.620041e+01
16 2.645579e-02 2.610890e+00 1.507886e+00 4.837128e-01 4.100199e+03 4.651510e+01 4.630094e+01
17 2.821124e-02 2.781702e+00 1.507364e+00 5.163372e-01 4.111941e+03 4.661553e+01 4.640140e+01
18 2.996555e-02 2.952103e+00 1.506828e+00 5.491496e-01 4.123934e+03 4.671587e+01 4.650176e+01
19 3.171869e-02 3.122092e+00 1.506276e+00 5.821357e-01 4.136437e+03 4.681613e+01 4.660204e+01
20 3.347064e-02 3.291670e+00 1.505710e+00 6.152816e-01 4.148763e+03 4.691630e+01 4.670223e+01
21 3.522139e-02 3.460834e+00 1.505141e+00 6.485638e-01 4.159938e+03 4.701637e+01 4.680233e+01
22 3.697092e-02 3.629584e+00 1.504565e+00 6.819396e-01 4.169933e+03 4.711635e+01 4.690234e+01
23 3.871921e-02 3.797920e+00 1.503988e+00 7.153710e-01 4.178649e+03 4.721623e+01 4.700225e+01
24 4.046623e-02 3.965841e+00 1.503281e+00 7.488716e-01 4.193769e+03 4.731602e+01 4.710206e+01
25 4.221198e-02 4.133346e+00 1.502488e+00 7.824783e-01 4.211782e+03 4.741570e+01 4.720178e+01
26 4.395643e-02 4.300435e+00 1.501628e+00 8.161627e-01 4.231167e+03 4.751528e+01 4.730139e+01
27 4.569957e-02 4.467107e+00 1.500730e+00 8.498682e-01 4.251460e+03 4.761475e+01 4.740090e+01
28 4.744137e-02 4.633362e+00 1.499807e+00 8.835621e-01 4.272264e+03 4.771412e+01 4.750030e+01
29 4.918182e-02 4.799198e+00 1.498874e+00 9.172158e-01 4.293296e+03 4.781338e+01 4.759959e+01
30 5.092090e-02 4.964616e+00 1.497917e+00 9.508093e-01 4.315259e+03 4.791252e+01 4.769877e+01
31 5.265859e-02 5.129615e+00 1.496955e+00 9.843305e-01 4.337860e+03 4.801155e+01 4.779784e+01
32 5.439488e-02 5.294194e+00 1.495984e+00 1.017770e+00 4.361153e+03 4.811047e+01 4.789680e+01
33 5.612975e-02 5.458354e+00 1.495018e+00 1.051109e+00 4.384316e+03 4.820926e+01 4.799563e+01
34 5.786317e-02 5.622093e+00 1.494046e+00 1.084332e+00 4.407865e+03 4.830794e+01 4.809435e+01
35 5.959514e-02 5.785411e+00 1.493067e+00 1.117421e+00 4.431690e+03 4.840649e+01 4.819295e+01
36 6.132563e-02 5.948307e+00 1.492076e+00 1.150361e+00 4.455926e+03 4.850492e+01 4.829142e+01
37 6.305464e-02 6.110782e+00 1.491066e+00 1.183137e+00 4.480072e+03 4.860323e+01 4.838977e+01
38 6.478213e-02 6.272835e+00 1.490030e+00 1.215732e+00 4.504583e+03 4.870140e+01 4.848799e+01
39 6.650810e-02 6.434466e+00 1.488983e+00 1.248132e+00 4.529140e+03 4.879945e+01 4.858609e+01
40 6.823253e-02 6.595674e+00 1.487946e+00 1.280295e+00 4.552462e+03 4.889736e+01 4.868405e+01
41 6.995540e-02 6.756459e+00 1.486921e+00 1.312183e+00 4.574125e+03 4.899514e+01 4.878188e+01
