# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.224243e+00 5.684342e-14 6.349920e+03 4.500000e+01 4.512215e+01
2 1.770244e-03 1.768678e-01 1.256656e+00 1.307312e+00 6.114397e+03 4.510143e+01 4.522358e+01
3 3.539646e-03 3.533389e-01 1.288050e+00 2.589829e+00 5.923947e+03 4.520281e+01 4.532496e+01
4 5.308184e-03 5.294120e-01 1.321067e+00 3.846155e+00 5.758070e+03 4.530413e+01 4.542628e+01
5 7.075837e-03 7.050863e-01 1.355809e+00 5.077449e+00 5.610095e+03 4.540540e+01 4.552755e+01
6 8.842586e-03 8.803605e-01 1.392372e+00 6.284694e+00 5.475404e+03 4.550662e+01 4.562876e+01
7 1.060841e-02 1.055234e+00 1.430868e+00 7.468683e+00 5.350963e+03 4.560777e+01 4.572991e+01
8 1.237328e-02 1.229705e+00 1.471405e+00 8.630057e+00 5.234593e+03 4.570886e+01 4.583100e+01
9 1.413719e-02 1.403773e+00 1.514107e+00 9.769303e+00 5.124622e+03 4.580989e+01 4.593202e+01
10 1.590012e-02 1.577438e+00 1.559096e+00 1.088679e+01 5.019781e+03 4.591086e+01 4.603298e+01
11 1.766203e-02 1.750697e+00 1.606510e+00 1.200379e+01 4.919205e+03 4.601175e+01 4.613386e+01
12 1.942292e-02 1.923551e+00 1.656481e+00 1.317616e+01 4.821978e+03 4.611257e+01 4.623468e+01
13 2.118276e-02 2.095998e+00 1.709046e+00 1.434597e+01 4.726888e+03 4.621332e+01 4.633542e+01
14 2.294153e-02 2.268037e+00 1.764311e+00 1.551315e+01 4.633837e+03 4.631399e+01 4.643608e+01
15 2.469921e-02 2.439668e+00 1.822499e+00 1.667437e+01 4.542823e+03 4.641459e+01 4.653666e+01
16 2.645579e-02 2.610890e+00 1.883878e+00 1.785432e+01 4.453805e+03 4.651510e+01 4.663717e+01
17 2.821124e-02 2.781702e+00 1.948586e+00 1.906516e+01 4.366414e+03 4.661553e+01 4.673758e+01
18 2.996555e-02 2.952103e+00 2.016816e+00 2.028159e+01 4.280400e+03 4.671587e+01 4.683792e+01
19 3.171869e-02 3.122092e+00 2.088770e+00 2.150449e+01 4.195540e+03 4.681613e+01 4.693816e+01
20 3.347064e-02 3.291670e+00 2.164595e+00 2.273479e+01 4.111426e+03 4.691630e+01 4.703831e+01
21 3.522139e-02 3.460834e+00 2.244482e+00 2.397334e+01 4.027975e+03 4.701637e+01 4.713837e+01
22 3.697092e-02 3.629584e+00 2.328565e+00 2.522080e+01 3.944930e+03 4.711635e+01 4.723834e+01
23 3.871921e-02 3.797920e+00 2.417223e+00 2.647465e+01 3.862788e+03 4.721623e+01 4.733820e+01
24 4.046623e-02 3.965841e+00 2.510644e+00 2.778454e+01 3.781356e+03 4.731602e+01 4.743797e+01
25 4.221198e-02 4.133346e+00 2.609191e+00 2.911295e+01 3.700618e+03 4.741570e+01 4.753764e+01
