# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.446265e+00 5.684342e-14 6.190825e+03 4.500000e+01 4.486427e+01
2 1.770244e-03 1.768678e-01 1.494925e+00 1.717698e+00 5.998476e+03 4.510143e+01 4.496570e+01
3 3.539646e-03 3.533389e-01 1.542483e+00 3.404067e+00 5.752952e+03 4.520281e+01 4.506708e+01
4 5.308184e-03 5.294120e-01 1.592193e+00 5.056799e+00 5.520135e+03 4.530413e+01 4.516841e+01
5 7.075837e-03 7.050863e-01 1.644231e+00 6.677383e+00 5.300029e+03 4.540540e+01 4.526968e+01
6 8.842586e-03 8.803605e-01 1.698774e+00 8.267114e+00 5.092557e+03 4.550662e+01 4.537090e+01
7 1.060841e-02 1.055234e+00 1.756027e+00 9.827103e+00 4.901370e+03 4.560777e+01 4.574348e+01
8 1.237328e-02 1.229705e+00 1.816193e+00 1.135828e+01 4.718286e+03 4.570886e+01 4.584457e+01
9 1.413719e-02 1.403773e+00 1.879490e+00 1.286140e+01 4.545599e+03 4.580989e+01 4.594559e+01
10 1.590012e-02 1.577438e+00 1.946144e+00 1.433706e+01 4.382509e+03 4.591086e+01 4.604655e+01
11 1.766203e-02 1.750697e+00 2.016407e+00 1.578572e+01 4.228198e+03 4.601175e+01 4.614743e+01
12 1.942292e-02 1.923551e+00 2.090577e+00 1.721674e+01 4.081468e+03 4.611257e+01 4.624825e+01
13 2.118276e-02 2.095998e+00 2.168797e+00 1.874804e+01 3.942885e+03 4.621332e+01 4.634898e+01
14 2.294153e-02 2.268037e+00 2.251139e+00 2.027621e+01 3.813065e+03 4.631399e+01 4.644965e+01
15 2.469921e-02 2.439668e+00 2.337896e+00 2.179959e+01 3.690913e+03 4.641459e+01 4.655023e+01
16 2.645579e-02 2.610890e+00 2.429514e+00 2.332035e+01 3.574782e+03 4.651510e+01 4.665073e+01
17 2.821124e-02 2.781702e+00 2.526288e+00 2.484134e+01 3.466700e+03 4.661553e+01 4.702238e+01
18 2.996555e-02 2.952103e+00 2.628545e+00 2.636353e+01 3.359934e+03 4.671587e+01 4.712268e+01
19 3.171869e-02 3.122092e+00 2.736619e+00 2.788793e+01 3.257529e+03 4.681613e+01 4.722289e+01
20 3.347064e-02 3.291670e+00 2.850835e+00 2.941618e+01 3.159044e+03 4.691630e+01 4.732301e+01
21 3.522139e-02 3.460834e+00 2.971410e+00 3.098549e+01 3.065030e+03 4.701637e+01 4.742304e+01
22 3.697092e-02 3.629584e+00 3.098418e+00 3.257465e+01 2.975411e+03 4.711635e+01 4.752297e+01
23 3.871921e-02 3.797920e+00 3.232509e+00 3.417023e+01 2.890366e+03 4.721623e+01 4.789382e+01
24 4.046623e-02 3.965841e+00 3.374221e+00 3.577094e+01 2.807924e+03 4.731602e+01 4.799351e+01
25 4.221198e-02 4.133346e+00 3.524136e+00 3.737963e+01 2.728309e+03 4.741570e+01 4.809309e+01
26 4.395643e-02 4.300435e+00 3.682645e+00 3.899676e+01 2.650808e+03 4.751528e+01 4.846344e+01
27 4.569957e-02 4.467107e+00 3.849880e+00 4.062377e+01 2.576132e+03 4.761475e+01 4.856277e+01
28 4.744137e-02 4.633362e+00 4.025393e+00 4.231148e+01 2.503940e+03 4.771412e+01 4.866198e+01
29 4.918182e-02 4.799198e+00 4.209298e+00 4.400761e+01 2.434548e+03 4.781338e+01 4.876108e+01
30 5.092090e-02 4.964616e+00 4.403190e+00 4.571012e+01 2.366334e+03 4.791252e+01 4.913072e+01
31 5.265859e-02 5.129615e+00 4.607709e+00 4.742104e+01 2.300797e+03 4.801155e+01 4.922953e+01
32 5.439488e-02 5.294194e+00 4.823178e+00 4.914163e+01 2.237153e+03 4.811047e+01 4.932822e+01
33 5.612975e-02 5.458354e+00 5.050739e+00 5.088665e+01 2.174788e+03 4.820926e+01 4.969723e+01
34 5.786317e-02 5.622093e+00 5.289158e+00 5.268805e+01 2.115625e+03 4.830794e+01 4.979561e+01
35 5.959514e-02 5.785411e+00 5.539893e+00 5.449936e+01 2.057718e+03 4.840649e+01 5.016414e+01
36 6.132563e-02 5.948307e+00 5.803763e+00 5.631338e+01 2.002634e+03 4.850492e+01 5.026220e+01
37 6.305464e-02 6.110782e+00 6.079663e+00 5.812739e+01 1.949540e+03 4.860323e+01 5.036013e+01
38 6.478213e-02 6.272835e+00 6.365381e+00 5.993944e+01 1.898405e+03 4.870140e+01 5.045792e+01
39 6.650810e-02 6.434466e+00 6.660852e+00 6.179860e+01 1.849077e+03 4.879945e+01 5.055557e+01
40 6.823253e-02 6.595674e+00 6.965575e+00 6.365719e+01 1.802105e+03 4.889736e+01 5.065308e+01
41 6.995540e-02 6.756459e+00 7.279639e+00 6.550560e+01 1.757255e+03 4.899514e+01 5.075044e+01
42 7.167669e-02 6.916821e+00 7.602758e+00 6.733857e+01 1.714127e+03 4.909278e+01 5.084766e+01
43 7.339640e-02 7.076759e+00 7.934446e+00 6.916171e+01 1.673114e+03 4.919028e+01 5.094473e+01
44 7.511450e-02 7.236274e+00 8.273387e+00 7.101971e+01 1.634061e+03 4.928765e+01 5.104165e+01
45 7.683098e-02 7.395364e+00 8.616264e+00 7.287304e+01 1.597175e+03 4.938487e+01 5.113842e+01
46 7.854582e-02 7.554030e+00 8.960836e+00 7.469588e+01 1.562475e+03 4.948195e+01 5.123503e+01
47 8.025901e-02 7.712272e+00 9.308678e+00 7.648487e+01 1.529357e+03 4.957888e+01 5.160092e+01
48 8.197054e-02 7.870090e+00 9.653835e+00 7.823001e+01 1.498992e+03 4.967567e+01 5.169715e+01
49 8.368038e-02 8.027482e+00 9.995812e+00 7.997625e+01 1.470158e+03 4.977231e+01 5.179322e+01
50 8.538852e-02 8.184450e+00 1.033027e+01 8.170914e+01 1.443220e+03 4.986879e+01 5.188913e+01
51 8.709494e-02 8.340993e+00 1.065886e+01 8.340933e+01 1.418200e+03 4.996513e+01 5.198487e+01
52 8.879964e-02 8.497111e+00 1.097860e+01 8.506472e+01 1.395084e+03 5.006131e+01 5.208045e+01
53 9.050260e-02 8.652804e+00 1.129850e+01 8.666045e+01 1.373197e+03 5.015733e+01 5.244474e+01
54 9.220380e-02 8.808072e+00 1.160770e+01 8.823677e+01 1.353423e+03 5.025320e+01 5.253990e+01
55 9.390323e-02 8.962915e+00 1.189891e+01 8.975221e+01 1.335132e+03 5.034891e+01 5.263490e+01
56 9.560088e-02 9.117332e+00 1.217581e+01 9.120896e+01 1.318355e+03 5.044445e+01 5.272972e+01
57 9.729672e-02 9.271325e+00 1.243196e+01 9.259896e+01 1.303434e+03 5.053984e+01 5.282437e+01
58 9.899076e-02 9.424892e+00 1.267102e+01 9.393582e+01 1.290041e+03 5.063506e+01 5.291884e+01
59 1.006830e-01 9.578034e+00 1.289261e+01 9.528745e+01 1.277580e+03 5.073011e+01 5.301313e+01
60 1.023733e-01 9.730752e+00 1.308351e+01 9.655225e+01 1.266702e+03 5.082500e+01 5.310725e+01
61 1.040618e-01 9.883044e+00 1.325968e+01 9.779449e+01 1.257283e+03 5.091972e+01 5.320118e+01
62 1.057485e-01 1.003491e+01 1.343953e+01 9.899737e+01 1.248535e+03 5.101427e+01 5.356292e+01
63 1.074333e-01 1.018635e+01 1.360202e+01 1.001571e+02 1.240888e+03 5.110865e+01 5.365639e+01
64 1.091161e-01 1.033737e+01 1.374800e+01 1.013278e+02 1.234428e+03 5.120285e+01 5.374969e+01
65 1.107971e-01 1.048797e+01 1.387346e+01 1.024719e+02 1.228729e+03 5.129688e+01 5.411037e+01
66 1.124762e-01 1.063814e+01 1.400615e+01 1.035829e+02 1.224126e+03 5.139074e+01 5.420319e+01
67 1.141533e-01 1.078788e+01 1.412267e+01 1.046414e+02 1.220287e+03 5.148441e+01 5.456308e+01
68 1.158285e-01 1.093720e+01 1.423733e+01 1.056826e+02 1.217346e+03 5.157791e+01 5.465541e+01
69 1.175017e-01 1.108610e+01 1.434340e+01 1.067018e+02 1.214773e+03 5.167123e+01 5.501447e+01
70 1.191730e-01 1.123458e+01 1.444324e+01 1.076641e+02 1.213103e+03 5.176436e+01 5.510631e+01
71 1.208423e-01 1.138263e+01 1.453642e+01 1.085660e+02 1.211953e+03 5.185732e+01 5.519796e+01
72 1.225096e-01 1.153026e+01 1.462586e+01 1.094036e+02 1.211259e+03 5.195008e+01 5.555586e+01
73 1.241749e-01 1.167746e+01 1.470555e+01 1.101987e+02 1.211291e+03 5.204267e+01 5.564700e+01
74 1.258382e-01 1.182425e+01 1.478474e+01 1.109720e+02 1.211533e+03 5.213506e+01 5.600403e+01
75 1.274994e-01 1.197061e+01 1.485416e+01 1.117061e+02 1.212453e+03 5.222727e+01 5.609465e+01
76 1.291587e-01 1.211655e+01 1.491591e+01 1.123886e+02 1.213606e+03 5.231929e+01 5.645077e+01
