# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.597470e+00 0.000000e+00 4.995896e+03 4.595803e+01 4.574018e+01
2 1.770244e-03 1.768678e-01 1.658857e+00 1.984452e+00 4.878714e+03 4.605940e+01 4.584156e+01
3 3.539646e-03 3.533389e-01 1.720063e+00 3.922291e+00 4.733811e+03 4.616070e+01 4.594287e+01
4 5.308184e-03 5.294120e-01 1.784244e+00 5.812128e+00 4.586241e+03 4.626194e+01 4.604413e+01
5 7.075837e-03 7.050863e-01 1.851503e+00 7.656418e+00 4.439986e+03 4.636311e+01 4.614532e+01
6 8.842586e-03 8.803605e-01 1.921970e+00 9.457223e+00 4.296967e+03 4.646422e+01 4.624644e+01
7 1.060841e-02 1.055234e+00 1.995822e+00 1.121629e+01 4.158503e+03 4.656525e+01 4.634750e+01
8 1.237328e-02 1.229705e+00 2.073254e+00 1.293644e+01 4.025194e+03 4.666621e+01 4.644848e+01
9 1.413719e-02 1.403773e+00 2.154510e+00 1.461885e+01 3.897017e+03 4.676709e+01 4.654938e+01
10 1.590012e-02 1.577438e+00 2.239850e+00 1.626467e+01 3.773922e+03 4.686790e+01 4.665021e+01
11 1.766203e-02 1.750697e+00 2.329577e+00 1.787512e+01 3.655767e+03 4.696862e+01 4.675096e+01
12 1.942292e-02 1.923551e+00 2.424299e+00 1.946039e+01 3.540767e+03 4.706926e+01 4.685163e+01
13 2.118276e-02 2.095998e+00 2.523952e+00 2.113945e+01 3.431321e+03 4.716982e+01 4.695221e+01
14 2.294153e-02 2.268037e+00 2.627360e+00 2.280924e+01 3.330772e+03 4.727029e+01 4.705271e+01
15 2.469921e-02 2.439668e+00 2.734219e+00 2.446733e+01 3.237238e+03 4.737066e+01 4.715312e+01
16 2.645579e-02 2.610890e+00 2.846222e+00 2.611477e+01 3.147411e+03 4.747095e+01 4.725344e+01
17 2.821124e-02 2.781702e+00 2.964065e+00 2.775470e+01 3.060509e+03 4.757114e+01 4.735366e+01
18 2.996555e-02 2.952103e+00 3.118275e+00 2.938872e+01 2.922400e+03 4.448876e+01 4.610087e+01
19 3.171869e-02 3.122092e+00 3.250738e+00 3.101849e+01 2.843311e+03 4.458919e+01 4.620135e+01
20 3.347064e-02 3.291670e+00 3.389719e+00 3.264588e+01 2.767404e+03 4.468957e+01 4.676203e+01
21 3.522139e-02 3.460834e+00 3.533130e+00 3.430906e+01 2.693621e+03 4.478987e+01 4.686237e+01
22 3.697092e-02 3.629584e+00 3.680586e+00 3.598670e+01 2.624768e+03 4.489011e+01 4.742264e+01
23 3.871921e-02 3.797920e+00 3.832470e+00 3.766389e+01 2.559055e+03 4.499028e+01 4.752282e+01
24 4.046623e-02 3.965841e+00 3.993177e+00 3.933640e+01 2.531204e+03 4.826964e+01 4.805243e+01
25 4.221198e-02 4.133346e+00 4.172960e+00 4.100683e+01 2.464524e+03 4.836899e+01 4.815183e+01
26 4.395643e-02 4.300435e+00 4.363948e+00 4.267958e+01 2.397548e+03 4.846823e+01 4.825111e+01
27 4.569957e-02 4.467107e+00 4.564372e+00 4.435795e+01 2.334220e+03 4.856735e+01 4.878442e+01
28 4.744137e-02 4.633362e+00 4.774057e+00 4.609000e+01 2.270138e+03 4.866635e+01 4.888338e+01
29 4.918182e-02 4.799198e+00 4.824679e+00 4.777790e+01 2.236217e+03 4.902386e+01 4.882677e+01
30 5.092090e-02 4.964616e+00 5.049561e+00 4.951681e+01 2.174860e+03 4.912249e+01 4.892546e+01
31 5.265859e-02 5.129615e+00 5.288745e+00 5.125444e+01 2.114142e+03 4.922100e+01 4.902401e+01
32 5.439488e-02 5.294194e+00 5.541757e+00 5.299395e+01 2.055907e+03 4.931938e+01 4.951632e+01
33 5.612975e-02 5.458354e+00 5.805183e+00 5.474710e+01 1.998007e+03 4.941763e+01 4.961451e+01
34 5.786317e-02 5.622093e+00 6.079048e+00 5.654027e+01 1.942574e+03 4.951574e+01 4.971257e+01
35 5.959514e-02 5.785411e+00 6.363504e+00 5.833085e+01 1.889481e+03 4.961372e+01 4.981050e+01
36 6.132563e-02 5.948307e+00 6.659646e+00 6.011002e+01 1.837941e+03 4.971156e+01 4.990828e+01
37 6.305464e-02 6.110782e+00 6.965670e+00 6.187830e+01 1.788573e+03 4.980926e+01 5.000592e+01
38 6.478213e-02 6.272835e+00 7.279771e+00 6.363688e+01 1.741008e+03 4.990682e+01 5.010343e+01
39 6.650810e-02 6.434466e+00 7.602386e+00 6.542860e+01 1.694911e+03 5.000423e+01 5.020078e+01
40 6.823253e-02 6.595674e+00 7.929934e+00 6.720560e+01 1.651297e+03 5.010150e+01 5.029799e+01
41 6.995540e-02 6.756459e+00 8.266053e+00 6.895811e+01 1.609227e+03 5.019862e+01 5.039505e+01
42 7.167669e-02 6.916821e+00 8.610805e+00 7.068201e+01 1.568580e+03 5.029560e+01 5.049197e+01
43 7.339640e-02 7.076759e+00 8.958993e+00 7.238886e+01 1.530541e+03 5.039242e+01 5.058873e+01
44 7.511450e-02 7.236274e+00 9.302141e+00 7.409515e+01 1.495566e+03 5.048909e+01 5.068533e+01
45 7.683098e-02 7.395364e+00 9.640464e+00 7.582461e+01 1.463191e+03 5.058560e+01 5.078178e+01
46 7.854582e-02 7.554030e+00 9.972935e+00 7.765057e+01 1.433546e+03 5.068196e+01 5.087808e+01
47 8.025901e-02 7.712272e+00 1.029295e+01 7.943939e+01 1.405837e+03 5.077817e+01 5.097421e+01
48 8.197054e-02 7.870090e+00 1.059858e+01 8.118604e+01 1.380491e+03 5.087421e+01 5.107019e+01
