# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.446265e+00 5.684342e-14 6.190825e+03 4.500000e+01 4.486427e+01
2 1.770244e-03 1.768678e-01 1.495182e+00 1.788261e+00 6.008640e+03 4.510143e+01 4.496570e+01
3 3.539646e-03 3.533389e-01 1.542979e+00 3.413753e+00 5.767091e+03 4.520281e+01 4.506708e+01
4 5.308184e-03 5.294120e-01 1.592939e+00 5.072093e+00 5.534903e+03 4.530413e+01 4.516841e+01
5 7.075837e-03 7.050863e-01 1.645256e+00 6.698756e+00 5.313549e+03 4.540540e+01 4.526968e+01
6 8.842586e-03 8.803605e-01 1.700134e+00 8.295101e+00 5.106582e+03 4.550662e+01 4.564233e+01
7 1.060841e-02 1.055234e+00 1.757781e+00 9.862333e+00 4.909466e+03 4.560777e+01 4.574348e+01
8 1.237328e-02 1.229705e+00 1.818411e+00 1.140148e+01 4.723084e+03 4.570886e+01 4.584457e+01
9 1.413719e-02 1.403773e+00 1.882263e+00 1.291337e+01 4.546936e+03 4.580989e+01 4.594559e+01
10 1.590012e-02 1.577438e+00 1.949586e+00 1.439862e+01 4.380331e+03 4.591086e+01 4.604655e+01
11 1.766203e-02 1.750697e+00 2.020642e+00 1.591003e+01 4.222542e+03 4.601175e+01 4.614743e+01
12 1.942292e-02 1.923551e+00 2.095756e+00 1.742359e+01 4.072477e+03 4.611257e+01 4.624825e+01
13 2.118276e-02 2.095998e+00 2.175084e+00 1.893473e+01 3.930760e+03 4.621332e+01 4.634898e+01
14 2.294153e-02 2.268037e+00 2.258709e+00 2.046928e+01 3.798083e+03 4.631399e+01 4.644965e+01
15 2.469921e-02 2.439668e+00 2.346950e+00 2.200244e+01 3.673314e+03 4.641459e+01 4.655023e+01
16 2.645579e-02 2.610890e+00 2.440280e+00 2.353566e+01 3.558303e+03 4.651510e+01 4.692198e+01
17 2.821124e-02 2.781702e+00 2.538989e+00 2.507049e+01 3.444758e+03 4.661553e+01 4.702238e+01
18 2.996555e-02 2.952103e+00 2.643355e+00 2.660838e+01 3.336476e+03 4.671587e+01 4.712268e+01
19 3.171869e-02 3.122092e+00 2.753777e+00 2.815073e+01 3.232886e+03 4.681613e+01 4.722289e+01
20 3.347064e-02 3.291670e+00 2.870586e+00 2.969969e+01 3.133409e+03 4.691630e+01 4.732301e+01
21 3.522139e-02 3.460834e+00 2.993945e+00 3.125586e+01 3.038557e+03 4.701637e+01 4.742304e+01
22 3.697092e-02 3.629584e+00 3.123976e+00 3.283661e+01 2.948586e+03 4.711635e+01 4.779402e+01
23 3.871921e-02 3.797920e+00 3.261227e+00 3.443979e+01 2.861800e+03 4.721623e+01 4.789382e+01
24 4.046623e-02 3.965841e+00 3.406245e+00 3.604998e+01 2.778278e+03 4.731602e+01 4.799351e+01
25 4.221198e-02 4.133346e+00 3.559613e+00 3.766822e+01 2.697555e+03 4.741570e+01 4.809309e+01
26 4.395643e-02 4.300435e+00 3.721718e+00 3.929338e+01 2.618837e+03 4.751528e+01 4.846344e+01
27 4.569957e-02 4.467107e+00 3.893054e+00 4.094810e+01 2.543166e+03 4.761475e+01 4.856277e+01
28 4.744137e-02 4.633362e+00 4.073497e+00 4.264667e+01 2.470145e+03 4.771412e+01 4.866198e+01
29 4.918182e-02 4.799198e+00 4.263046e+00 4.435430e+01 2.400113e+03 4.781338e+01 4.876108e+01
30 5.092090e-02 4.964616e+00 4.463204e+00 4.606897e+01 2.331407e+03 4.791252e+01 4.913072e+01
31 5.265859e-02 5.129615e+00 4.674500e+00 4.779306e+01 2.265660e+03 4.801155e+01 4.922953e+01
32 5.439488e-02 5.294194e+00 4.896871e+00 4.952401e+01 2.201978e+03 4.811047e+01 4.932822e+01
33 5.612975e-02 5.458354e+00 5.131035e+00 5.130007e+01 2.139658e+03 4.820926e+01 4.969723e+01
34 5.786317e-02 5.622093e+00 5.375911e+00 5.310518e+01 2.080698e+03 4.830794e+01 4.979561e+01
35 5.959514e-02 5.785411e+00 5.632503e+00 5.491370e+01 2.023013e+03 4.840649e+01 5.016414e+01
36 6.132563e-02 5.948307e+00 5.901857e+00 5.672309e+01 1.968418e+03 4.850492e+01 5.026220e+01
37 6.305464e-02 6.110782e+00 6.182186e+00 5.853082e+01 1.916118e+03 4.860323e+01 5.036013e+01
38 6.478213e-02 6.272835e+00 6.472486e+00 6.035677e+01 1.865985e+03 4.870140e+01 5.045792e+01
39 6.650810e-02 6.434466e+00 6.773089e+00 6.221099e+01 1.817956e+03 4.879945e+01 5.055557e+01
40 6.823253e-02 6.595674e+00 7.082854e+00 6.405520e+01 1.772242e+03 4.889736e+01 5.065308e+01
41 6.995540e-02 6.756459e+00 7.401760e+00 6.588522e+01 1.728666e+03 4.899514e+01 5.075044e+01
42 7.167669e-02 6.916821e+00 7.728189e+00 6.769722e+01 1.687183e+03 4.909278e+01 5.084766e+01
43 7.339640e-02 7.076759e+00 8.060229e+00 6.950799e+01 1.647996e+03 4.919028e+01 5.094473e+01
44 7.511450e-02 7.236274e+00 8.396865e+00 7.133441e+01 1.611043e+03 4.928765e+01 5.104165e+01
45 7.683098e-02 7.395364e+00 8.735800e+00 7.313982e+01 1.576301e+03 4.938487e+01 5.113842e+01
46 7.854582e-02 7.554030e+00 9.074114e+00 7.491190e+01 1.543809e+03 4.948195e+01 5.123503e+01
47 8.025901e-02 7.712272e+00 9.410613e+00 7.664528e+01 1.512899e+03 4.957888e+01 5.160092e+01
48 8.197054e-02 7.870090e+00 9.748281e+00 7.836272e+01 1.484755e+03 4.967567e+01 5.169715e+01
49 8.368038e-02 8.027482e+00 1.007990e+01 8.006206e+01 1.458586e+03 4.977231e+01 5.179322e+01
50 8.538852e-02 8.184450e+00 1.040346e+01 8.170986e+01 1.434347e+03 4.986879e+01 5.188913e+01
51 8.709494e-02 8.340993e+00 1.071707e+01 8.332476e+01 1.411973e+03 4.996513e+01 5.198487e+01
52 8.879964e-02 8.497111e+00 1.101951e+01 8.489201e+01 1.391329e+03 5.006131e+01 5.208045e+01
53 9.050260e-02 8.652804e+00 1.130891e+01 8.643801e+01 1.372054e+03 5.015733e+01 5.244474e+01
54 9.220380e-02 8.808072e+00 1.159557e+01 8.793015e+01 1.354927e+03 5.025320e+01 5.253990e+01
55 9.390323e-02 8.962915e+00 1.186673e+01 8.935711e+01 1.339401e+03 5.034891e+01 5.263490e+01
56 9.560088e-02 9.117332e+00 1.212064e+01 9.071673e+01 1.325451e+03 5.044445e+01 5.272972e+01
57 9.729672e-02 9.271325e+00 1.235632e+01 9.200718e+01 1.312988e+03 5.053984e+01 5.282437e+01
58 9.899076e-02 9.424892e+00 1.257232e+01 9.328048e+01 1.301975e+03 5.063506e+01 5.291884e+01
59 1.006830e-01 9.578034e+00 1.276832e+01 9.451365e+01 1.292281e+03 5.073011e+01 5.301313e+01
60 1.023733e-01 9.730752e+00 1.294488e+01 9.569193e+01 1.283821e+03 5.082500e+01 5.310725e+01
61 1.040618e-01 9.883044e+00 1.310246e+01 9.680096e+01 1.276462e+03 5.091972e+01 5.320118e+01
62 1.057485e-01 1.003491e+01 1.324103e+01 9.788687e+01 1.270187e+03 5.101427e+01 5.329494e+01
63 1.074333e-01 1.018635e+01 1.338308e+01 9.896603e+01 1.264592e+03 5.110865e+01 5.365639e+01
64 1.091161e-01 1.033737e+01 1.350979e+01 1.000012e+02 1.260240e+03 5.120285e+01 5.374969e+01
65 1.107971e-01 1.048797e+01 1.362036e+01 1.010049e+02 1.256791e+03 5.129688e+01 5.384279e+01
66 1.124762e-01 1.063814e+01 1.371557e+01 1.019695e+02 1.254148e+03 5.139074e+01 5.393571e+01
67 1.141533e-01 1.078788e+01 1.379942e+01 1.029204e+02 1.251982e+03 5.148441e+01 5.429582e+01
68 1.158285e-01 1.093720e+01 1.388229e+01 1.038625e+02 1.250763e+03 5.157791e+01 5.438825e+01
69 1.175017e-01 1.108610e+01 1.395327e+01 1.047726e+02 1.249868e+03 5.167123e+01 5.474755e+01
70 1.191730e-01 1.123458e+01 1.402539e+01 1.056351e+02 1.249786e+03 5.176436e+01 5.483949e+01
71 1.208423e-01 1.138263e+01 1.408494e+01 1.064421e+02 1.250216e+03 5.185732e+01 5.493124e+01
72 1.225096e-01 1.153026e+01 1.414543e+01 1.072343e+02 1.250911e+03 5.195008e+01 5.528940e+01
73 1.241749e-01 1.167746e+01 1.419666e+01 1.079838e+02 1.252335e+03 5.204267e+01 5.538064e+01
74 1.258382e-01 1.182425e+01 1.424391e+01 1.086829e+02 1.253954e+03 5.213506e+01 5.573793e+01
75 1.274994e-01 1.197061e+01 1.428814e+01 1.093328e+02 1.256242e+03 5.222727e+01 5.582866e+01
76 1.291587e-01 1.211655e+01 1.432241e+01 1.099356e+02 1.258923e+03 5.231929e+01 5.591918e+01
77 1.308158e-01 1.226207e+01 1.435833e+01 1.105383e+02 1.261721e+03 5.241112e+01 5.627527e+01
78 1.324710e-01 1.240716e+01 1.438642e+01 1.110971e+02 1.265119e+03 5.250276e+01 5.636526e+01
79 1.341240e-01 1.255184e+01 1.440697e+01 1.116135e+02 1.268589e+03 5.259420e+01 5.672043e+01
80 1.357750e-01 1.269610e+01 1.442943e+01 1.120973e+02 1.272639e+03 5.268545e+01 5.680989e+01
81 1.374239e-01 1.283994e+01 1.444386e+01 1.125506e+02 1.276971e+03 5.277651e+01 5.689914e+01
82 1.390707e-01 1.298335e+01 1.445038e+01 1.130034e+02 1.281596e+03 5.286737e+01 5.698817e+01
83 1.407154e-01 1.312635e+01 1.445029e+01 1.134197e+02 1.286448e+03 5.295803e+01 5.707699e+01
84 1.423580e-01 1.326893e+01 1.444423e+01 1.138009e+02 1.291587e+03 5.304850e+01 5.716560e+01
85 1.439985e-01 1.341110e+01 1.442698e+01 1.141704e+02 1.296979e+03 5.313876e+01 5.725399e+01
86 1.456368e-01 1.355284e+01 1.440020e+01 1.145232e+02 1.302524e+03 5.322883e+01 5.734216e+01
87 1.472730e-01 1.369417e+01 1.437024e+01 1.149016e+02 1.308153e+03 5.331869e+01 5.743012e+01
88 1.489070e-01 1.383508e+01 1.433741e+01 1.152583e+02 1.313915e+03 5.340835e+01 5.751785e+01
89 1.505389e-01 1.397557e+01 1.430270e+01 1.156022e+02 1.319736e+03 5.349781e+01 5.760537e+01
90 1.521686e-01 1.411565e+01 1.426657e+01 1.159298e+02 1.325572e+03 5.358707e+01 5.769266e+01
91 1.537961e-01 1.425532e+01 1.422956e+01 1.162485e+02 1.331383e+03 5.367612e+01 5.777973e+01
92 1.554215e-01 1.439457e+01 1.419218e+01 1.165887e+02 1.337148e+03 5.376496e+01 5.786659e+01
93 1.570446e-01 1.453341e+01 1.415489e+01 1.169123e+02 1.342848e+03 5.385360e+01 5.795321e+01
94 1.586655e-01 1.467183e+01 1.411792e+01 1.172261e+02 1.348465e+03 5.394202e+01 5.803962e+01
95 1.602843e-01 1.480984e+01 1.408197e+01 1.175230e+02 1.353956e+03 5.403024e+01 5.812580e+01
96 1.619007e-01 1.494744e+01 1.404754e+01 1.178118e+02 1.359278e+03 5.411826e+01 5.821176e+01
97 1.635150e-01 1.508463e+01 1.402028e+01 1.181230e+02 1.364761e+03 5.420606e+01 5.803434e+01
98 1.651271e-01 1.522140e+01 1.399544e+01 1.184137e+02 1.369758e+03 5.429365e+01 5.811998e+01
99 1.667369e-01 1.535777e+01 1.397264e+01 1.186849e+02 1.374509e+03 5.438102e+01 5.820539e+01
100 1.683444e-01 1.549373e+01 1.395171e+01 1.189376e+02 1.379038e+03 5.446819e+01 5.829057e+01
101 1.699497e-01 1.562927e+01 1.393272e+01 1.191726e+02 1.383343e+03 5.455514e+01 5.837553e+01
102 1.715527e-01 1.576441e+01 1.391554e+01 1.194205e+02 1.387435e+03 5.464188e+01 5.846026e+01
103 1.731535e-01 1.589914e+01 1.390015e+01 1.196610e+02 1.391289e+03 5.472841e+01 5.854477e+01
104 1.747519e-01 1.603347e+01 1.388695e+01 1.198869e+02 1.394852e+03 5.481472e+01 5.862904e+01
105 1.763481e-01 1.616739e+01 1.387534e+01 1.200990e+02 1.398271e+03 5.490081e+01 5.871309e+01
106 1.779420e-01 1.630090e+01 1.386527e+01 1.202978e+02 1.401484e+03 5.498669e+01 5.879691e+01
107 1.795336e-01 1.643401e+01 1.385683e+01 1.204836e+02 1.404459e+03 5.507235e+01 5.888049e+01
108 1.811229e-01 1.656672e+01 1.384982e+01 1.206737e+02 1.407226e+03 5.515779e+01 5.896385e+01
109 1.827099e-01 1.669902e+01 1.384412e+01 1.208531e+02 1.409795e+03 5.524301e+01 5.904698e+01
110 1.842946e-01 1.683092e+01 1.383151e+01 1.210221e+02 1.412252e+03 5.532802e+01 5.912987e+01
111 1.858769e-01 1.696242e+01 1.381945e+01 1.211811e+02 1.414566e+03 5.541281e+01 5.921253e+01
112 1.874569e-01 1.709352e+01 1.380872e+01 1.213302e+02 1.416697e+03 5.549737e+01 5.929496e+01
113 1.890346e-01 1.722421e+01 1.379899e+01 1.215018e+02 1.418690e+03 5.558172e+01 5.937716e+01
114 1.906100e-01 1.735451e+01 1.378989e+01 1.216672e+02 1.420574e+03 5.566584e+01 5.945913e+01
115 1.921830e-01 1.748441e+01 1.378169e+01 1.218242e+02 1.422325e+03 5.574975e+01 5.954086e+01
116 1.937536e-01 1.761392e+01 1.377383e+01 1.219731e+02 1.424008e+03 5.583343e+01 5.962236e+01
117 1.953219e-01 1.774302e+01 1.376662e+01 1.221140e+02 1.425595e+03 5.591689e+01 5.970362e+01
118 1.968879e-01 1.787173e+01 1.375969e+01 1.222568e+02 1.427129e+03 5.600013e+01 5.978465e+01
119 1.984515e-01 1.800004e+01 1.375287e+01 1.224148e+02 1.428593e+03 5.608314e+01 5.986545e+01
120 2.000127e-01 1.812796e+01 1.374615e+01 1.225658e+02 1.430022e+03 5.616593e+01 5.994601e+01
121 2.015715e-01 1.825549e+01 1.373982e+01 1.227097e+02 1.431411e+03 5.624850e+01 6.002634e+01
122 2.031280e-01 1.838262e+01 1.373349e+01 1.228466e+02 1.432754e+03 5.633084e+01 6.010644e+01
123 2.046821e-01 1.850937e+01 1.372695e+01 1.229861e+02 1.434065e+03 5.641296e+01 6.018629e+01
124 2.062338e-01 1.863572e+01 1.372037e+01 1.231351e+02 1.435423e+03 5.649486e+01 6.026592e+01
125 2.077831e-01 1.876168e+01 1.371366e+01 1.232926e+02 1.436798e+03 5.657653e+01 6.034530e+01
126 2.093301e-01 1.888725e+01 1.370654e+01 1.234528e+02 1.438204e+03 5.665797e+01 6.042445e+01
127 2.108746e-01 1.901244e+01 1.369906e+01 1.236064e+02 1.439607e+03 5.673919e+01 6.050337e+01
128 2.124167e-01 1.913723e+01 1.369125e+01 1.237548e+02 1.441008e+03 5.682018e+01 6.058205e+01
129 2.139564e-01 1.926165e+01 1.368310e+01 1.239047e+02 1.442468e+03 5.690095e+01 6.066049e+01
130 2.154938e-01 1.938567e+01 1.367458e+01 1.240657e+02 1.443936e+03 5.698149e+01 6.073870e+01
131 2.170287e-01 1.950931e+01 1.366541e+01 1.242346e+02 1.445438e+03 5.706180e+01 6.081667e+01
132 2.185612e-01 1.963257e+01 1.365592e+01 1.244045e+02 1.446984e+03 5.714189e+01 6.089441e+01
133 2.200913e-01 1.975544e+01 1.364588e+01 1.245680e+02 1.448571e+03 5.722175e+01 6.097191e+01
134 2.216189e-01 1.987794e+01 1.363520e+01 1.247292e+02 1.450209e+03 5.730138e+01 6.104917e+01
135 2.231442e-01 2.000005e+01 1.362374e+01 1.248895e+02 1.451910e+03 5.738079e+01 6.112620e+01
136 2.246670e-01 2.012178e+01 1.361159e+01 1.250576e+02 1.453629e+03 5.745997e+01 6.120299e+01
