# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.195905e+00 3.334189e-02 5.322622e+03 4.269307e+01 0.000000e+00
2 1.770244e-03 1.768678e-01 1.200164e+00 6.731811e-02 5.391006e+03 4.293467e+01 0.000000e+00
3 3.539646e-03 3.533389e-01 1.200716e+00 1.016376e-01 5.415651e+03 4.304834e+01 0.000000e+00
4 5.308184e-03 5.294120e-01 1.201057e+00 1.362844e-01 5.424577e+03 4.314955e+01 0.000000e+00
5 7.075837e-03 7.050863e-01 1.201189e+00 1.712421e-01 5.445980e+03 4.325323e+01 0.000000e+00
6 8.842586e-03 8.803605e-01 1.201349e+00 2.064962e-01 5.464929e+03 4.332575e+01 0.000000e+00
7 1.060841e-02 1.055234e+00 1.201439e+00 2.420314e-01 5.468085e+03 4.341505e+01 0.000000e+00
8 1.237328e-02 1.229705e+00 1.201713e+00 2.778350e-01 5.489727e+03 4.349926e+01 0.000000e+00
9 1.413719e-02 1.403773e+00 1.201540e+00 3.138846e-01 5.506822e+03 4.359608e+01 0.000000e+00
10 1.590012e-02 1.577438e+00 1.201663e+00 3.501744e-01 5.507684e+03 4.368827e+01 0.000000e+00
11 1.766203e-02 1.750697e+00 1.202007e+00 3.866922e-01 5.512219e+03 4.379156e+01 0.000000e+00
12 1.942292e-02 1.923551e+00 1.202327e+00 4.234201e-01 5.539190e+03 4.393064e+01 0.000000e+00
13 2.118276e-02 2.095998e+00 1.202234e+00 4.603329e-01 5.551208e+03 4.398443e+01 0.000000e+00
14 2.294153e-02 2.268037e+00 1.202472e+00 4.974353e-01 5.569838e+03 4.409323e+01 0.000000e+00
15 2.469921e-02 2.439668e+00 1.202337e+00 5.346958e-01 5.595069e+03 4.414501e+01 0.000000e+00
16 2.645579e-02 2.610890e+00 1.202645e+00 5.721243e-01 5.616363e+03 4.426440e+01 0.000000e+00
17 2.821124e-02 2.781702e+00 1.203092e+00 6.097006e-01 5.620147e+03 4.438449e+01 0.000000e+00
18 2.996555e-02 2.952103e+00 1.203185e+00 6.473968e-01 5.664319e+03 4.447349e+01 0.000000e+00
19 3.171869e-02 3.122092e+00 1.203322e+00 6.852132e-01 5.690084e+03 4.458236e+01 0.000000e+00
20 3.347064e-02 3.291670e+00 1.203272e+00 7.231240e-01 5.707122e+03 4.464690e+01 0.000000e+00
21 3.522139e-02 3.460834e+00 1.203701e+00 7.611069e-01 5.741440e+03 4.475000e+01 0.000000e+00
22 3.697092e-02 3.629584e+00 1.203541e+00 7.991139e-01 5.757396e+03 4.482489e+01 0.000000e+00
23 3.871921e-02 3.797920e+00 1.203235e+00 8.371186e-01 5.802200e+03 4.490616e+01 0.000000e+00
24 4.046623e-02 3.965841e+00 1.203281e+00 8.751500e-01 5.825140e+03 4.499947e+01 0.000000e+00
25 4.221198e-02 4.133346e+00 1.203650e+00 9.132708e-01 5.858145e+03 4.513855e+01 0.000000e+00
26 4.395643e-02 4.300435e+00 1.202961e+00 9.513971e-01 5.857743e+03 4.515831e+01 0.000000e+00
27 4.569957e-02 4.467107e+00 1.203130e+00 9.895381e-01 5.852215e+03 4.526500e+01 0.000000e+00
28 4.744137e-02 4.633362e+00 1.203174e+00 1.027619e+00 5.866797e+03 4.533009e+01 0.000000e+00
29 4.918182e-02 4.799198e+00 1.202910e+00 1.065605e+00 5.851037e+03 4.540532e+01 0.000000e+00
30 5.092090e-02 4.964616e+00 1.202980e+00 1.103506e+00 5.870786e+03 4.551696e+01 0.000000e+00
31 5.265859e-02 5.129615e+00 1.203102e+00 1.141300e+00 5.865275e+03 4.562863e+01 0.000000e+00
32 5.439488e-02 5.294194e+00 1.202809e+00 1.178954e+00 5.873542e+03 4.567500e+01 0.000000e+00
33 5.612975e-02 5.458354e+00 1.202737e+00 1.216485e+00 5.861945e+03 4.576461e+01 0.000000e+00
34 5.786317e-02 5.622093e+00 1.202024e+00 1.253821e+00 5.889929e+03 4.579413e+01 0.000000e+00
35 5.959514e-02 5.785411e+00 1.201719e+00 1.291015e+00 5.943820e+03 4.588876e+01 0.000000e+00
36 6.132563e-02 5.948307e+00 1.201305e+00 1.328014e+00 5.950439e+03 4.593344e+01 0.000000e+00
37 6.305464e-02 6.110782e+00 1.201271e+00 1.364841e+00 5.987168e+03 4.606745e+01 0.000000e+00
38 6.478213e-02 6.272835e+00 1.200882e+00 1.401424e+00 6.041670e+03 4.611175e+01 0.000000e+00
39 6.650810e-02 6.434466e+00 1.201223e+00 1.437831e+00 6.050757e+03 4.621672e+01 0.000000e+00
40 6.823253e-02 6.595674e+00 1.201359e+00 1.473945e+00 6.098884e+03 4.632081e+01 0.000000e+00
41 6.995540e-02 6.756459e+00 1.201655e+00 1.509750e+00 6.162479e+03 4.644990e+01 0.000000e+00
42 7.167669e-02 6.916821e+00 1.201384e+00 1.545170e+00 6.187490e+03 4.653297e+01 0.000000e+00
43 7.339640e-02 7.076759e+00 1.200834e+00 1.580217e+00 6.250257e+03 4.662039e+01 0.000000e+00
44 7.511450e-02 7.236274e+00 1.200519e+00 1.614917e+00 6.266206e+03 4.668311e+01 0.000000e+00
45 7.683098e-02 7.395364e+00 1.200089e+00 1.649245e+00 6.320324e+03 4.671988e+01 0.000000e+00
46 7.854582e-02 7.554030e+00 1.199876e+00 1.683269e+00 6.338534e+03 4.680894e+01 0.000000e+00
47 8.025901e-02 7.712272e+00 1.199373e+00 1.716917e+00 6.396969e+03 4.688406e+01 0.000000e+00
48 8.197054e-02 7.870090e+00 1.199114e+00 1.750226e+00 6.411642e+03 4.693792e+01 0.000000e+00
49 8.368038e-02 8.027482e+00 1.198526e+00 1.783137e+00 6.478923e+03 4.702169e+01 0.000000e+00
50 8.538852e-02 8.184450e+00 1.198351e+00 1.815705e+00 6.513676e+03 4.710700e+01 0.000000e+00
51 8.709494e-02 8.340993e+00 1.197922e+00 1.847855e+00 6.518752e+03 4.712722e+01 0.000000e+00
52 8.879964e-02 8.497111e+00 1.197712e+00 1.879597e+00 6.559768e+03 4.722986e+01 0.000000e+00
53 9.050260e-02 8.652804e+00 1.197617e+00 1.910886e+00 6.534399e+03 4.732984e+01 0.000000e+00
54 9.220380e-02 8.808072e+00 1.197156e+00 1.941655e+00 6.545108e+03 4.738318e+01 0.000000e+00
55 9.390323e-02 8.962915e+00 1.196895e+00 1.971950e+00 6.511658e+03 4.748348e+01 0.000000e+00
56 9.560088e-02 9.117332e+00 1.196436e+00 2.001693e+00 6.520123e+03 4.752965e+01 0.000000e+00
57 9.729672e-02 9.271325e+00 1.195382e+00 2.030836e+00 6.542879e+03 4.754423e+01 0.000000e+00
58 9.899076e-02 9.424892e+00 1.194889e+00 2.059525e+00 6.552378e+03 4.760877e+01 0.000000e+00
59 1.006830e-01 9.578034e+00 1.194285e+00 2.087721e+00 6.556135e+03 4.768545e+01 0.000000e+00
60 1.023733e-01 9.730752e+00 1.193865e+00 2.115472e+00 6.573131e+03 4.775648e+01 0.000000e+00
61 1.040618e-01 9.883044e+00 1.193629e+00 2.142762e+00 6.623149e+03 4.783692e+01 0.000000e+00
62 1.057485e-01 1.003491e+01 1.193236e+00 2.169525e+00 6.653000e+03 4.790355e+01 0.000000e+00
