# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.236267e+00 5.684342e-14 6.499239e+03 4.500000e+01 4.512215e+01
2 1.770244e-03 1.768678e-01 1.270380e+00 1.376328e+00 6.262785e+03 4.510143e+01 4.522358e+01
3 3.539646e-03 3.533389e-01 1.303461e+00 2.717142e+00 6.065626e+03 4.520281e+01 4.532496e+01
4 5.308184e-03 5.294120e-01 1.338255e+00 4.036819e+00 5.892508e+03 4.530413e+01 4.542628e+01
5 7.075837e-03 7.050863e-01 1.374867e+00 5.331638e+00 5.736878e+03 4.540540e+01 4.552755e+01
6 8.842586e-03 8.803605e-01 1.413404e+00 6.602909e+00 5.594159e+03 4.550662e+01 4.562876e+01
7 1.060841e-02 1.055234e+00 1.453982e+00 7.851711e+00 5.461364e+03 4.560777e+01 4.572991e+01
8 1.237328e-02 1.229705e+00 1.496719e+00 9.078908e+00 5.336362e+03 4.570886e+01 4.583100e+01
9 1.413719e-02 1.403773e+00 1.541747e+00 1.028515e+01 5.217504e+03 4.580989e+01 4.593202e+01
10 1.590012e-02 1.577438e+00 1.589198e+00 1.147091e+01 5.103566e+03 4.591086e+01 4.603298e+01
11 1.766203e-02 1.750697e+00 1.639222e+00 1.264901e+01 4.993729e+03 4.601175e+01 4.613386e+01
12 1.942292e-02 1.923551e+00 1.691952e+00 1.387685e+01 4.886975e+03 4.611257e+01 4.623468e+01
13 2.118276e-02 2.095998e+00 1.747553e+00 1.509857e+01 4.783157e+03 4.621332e+01 4.633542e+01
14 2.294153e-02 2.268037e+00 1.806261e+00 1.633117e+01 4.682692e+03 4.631399e+01 4.643608e+01
15 2.469921e-02 2.439668e+00 1.868272e+00 1.758394e+01 4.584856e+03 4.641459e+01 4.653666e+01
16 2.645579e-02 2.610890e+00 1.933752e+00 1.884227e+01 4.488902e+03 4.651510e+01 4.663717e+01
17 2.821124e-02 2.781702e+00 2.002847e+00 2.010783e+01 4.394542e+03 4.661553e+01 4.673758e+01
18 2.996555e-02 2.952103e+00 2.075762e+00 2.138229e+01 4.301536e+03 4.671587e+01 4.683792e+01
19 3.171869e-02 3.122092e+00 2.152714e+00 2.266726e+01 4.209625e+03 4.681613e+01 4.693816e+01
20 3.347064e-02 3.291670e+00 2.233892e+00 2.396429e+01 4.118662e+03 4.691630e+01 4.703831e+01
