# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.224243e+00 5.684342e-14 6.349920e+03 4.500000e+01 4.512215e+01
2 1.770244e-03 1.768678e-01 1.257098e+00 1.423696e+00 6.115438e+03 4.510143e+01 4.522358e+01
3 3.539646e-03 3.533389e-01 1.288855e+00 2.645541e+00 5.923795e+03 4.520281e+01 4.532496e+01
4 5.308184e-03 5.294120e-01 1.322239e+00 3.866224e+00 5.756126e+03 4.530413e+01 4.542628e+01
5 7.075837e-03 7.050863e-01 1.357365e+00 5.118037e+00 5.606180e+03 4.540540e+01 4.552755e+01
6 8.842586e-03 8.803605e-01 1.394355e+00 6.348894e+00 5.469430e+03 4.550662e+01 4.562876e+01
7 1.060841e-02 1.055234e+00 1.433324e+00 7.559051e+00 5.342909e+03 4.560777e+01 4.572991e+01
8 1.237328e-02 1.229705e+00 1.474398e+00 8.750082e+00 5.224424e+03 4.570886e+01 4.583100e+01
9 1.413719e-02 1.403773e+00 1.517704e+00 9.924480e+00 5.112326e+03 4.580989e+01 4.593202e+01
10 1.590012e-02 1.577438e+00 1.563381e+00 1.111387e+01 5.005322e+03 4.591086e+01 4.603298e+01
11 1.766203e-02 1.750697e+00 1.611574e+00 1.230715e+01 4.902560e+03 4.601175e+01 4.613386e+01
12 1.942292e-02 1.923551e+00 1.662434e+00 1.349547e+01 4.803121e+03 4.611257e+01 4.623468e+01
13 2.118276e-02 2.095998e+00 1.716001e+00 1.468068e+01 4.705788e+03 4.621332e+01 4.633542e+01
14 2.294153e-02 2.268037e+00 1.772406e+00 1.586420e+01 4.610508e+03 4.631399e+01 4.643608e+01
15 2.469921e-02 2.439668e+00 1.831895e+00 1.704797e+01 4.517251e+03 4.641459e+01 4.653666e+01
16 2.645579e-02 2.610890e+00 1.894742e+00 1.823398e+01 4.425965e+03 4.651510e+01 4.663717e+01
17 2.821124e-02 2.781702e+00 1.961109e+00 1.942425e+01 4.336272e+03 4.661553e+01 4.673758e+01
18 2.996555e-02 2.952103e+00 2.031209e+00 2.062480e+01 4.247930e+03 4.671587e+01 4.683792e+01
19 3.171869e-02 3.122092e+00 2.105268e+00 2.186513e+01 4.160728e+03 4.681613e+01 4.693816e+01
20 3.347064e-02 3.291670e+00 2.183456e+00 2.311570e+01 4.074272e+03 4.691630e+01 4.703831e+01
21 3.522139e-02 3.460834e+00 2.265981e+00 2.437755e+01 3.988497e+03 4.701637e+01 4.713837e+01
22 3.697092e-02 3.629584e+00 2.353017e+00 2.565180e+01 3.903200e+03 4.711635e+01 4.723834e+01
23 3.871921e-02 3.797920e+00 2.444968e+00 2.693959e+01 3.818846e+03 4.721623e+01 4.733820e+01
24 4.046623e-02 3.965841e+00 2.542062e+00 2.824221e+01 3.735218e+03 4.731602e+01 4.743797e+01
