# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.597470e+00 0.000000e+00 4.995896e+03 4.595803e+01 4.574018e+01
2 1.770244e-03 1.768678e-01 1.657947e+00 2.158951e+00 4.872201e+03 4.605940e+01 4.627724e+01
3 3.539646e-03 3.533389e-01 1.718940e+00 4.071396e+00 4.736855e+03 4.616070e+01 4.637853e+01
4 5.308184e-03 5.294120e-01 1.783344e+00 5.879718e+00 4.611963e+03 4.626194e+01 4.604413e+01
5 7.075837e-03 7.050863e-01 1.851185e+00 7.749971e+00 4.462925e+03 4.636311e+01 4.614532e+01
6 8.842586e-03 8.803605e-01 1.922553e+00 9.578799e+00 4.315592e+03 4.646422e+01 4.624644e+01
7 1.060841e-02 1.055234e+00 1.997600e+00 1.136775e+01 4.172025e+03 4.656525e+01 4.634750e+01
8 1.237328e-02 1.229705e+00 2.076487e+00 1.311803e+01 4.033317e+03 4.666621e+01 4.644848e+01
9 1.413719e-02 1.403773e+00 2.159427e+00 1.485616e+01 3.899721e+03 4.676709e+01 4.654938e+01
10 1.590012e-02 1.577438e+00 2.246711e+00 1.658543e+01 3.771299e+03 4.686790e+01 4.665021e+01
11 1.766203e-02 1.750697e+00 2.338659e+00 1.829158e+01 3.647984e+03 4.696862e+01 4.675096e+01
12 1.942292e-02 1.923551e+00 2.435944e+00 1.997783e+01 3.528163e+03 4.706926e+01 4.685163e+01
13 2.118276e-02 2.095998e+00 2.538507e+00 2.164775e+01 3.414337e+03 4.716982e+01 4.695221e+01
14 2.294153e-02 2.268037e+00 2.645135e+00 2.332545e+01 3.309851e+03 4.727029e+01 4.705271e+01
15 2.469921e-02 2.439668e+00 2.755676e+00 2.500797e+01 3.212541e+03 4.737066e+01 4.715312e+01
16 2.645579e-02 2.610890e+00 2.871913e+00 2.668097e+01 3.119190e+03 4.747095e+01 4.725344e+01
17 2.821124e-02 2.781702e+00 2.994574e+00 2.834659e+01 3.029019e+03 4.757114e+01 4.735366e+01
18 2.996555e-02 2.952103e+00 3.152429e+00 3.000724e+01 2.889140e+03 4.448876e+01 4.610087e+01
19 3.171869e-02 3.122092e+00 3.289545e+00 3.166523e+01 2.808978e+03 4.458919e+01 4.666161e+01
20 3.347064e-02 3.291670e+00 3.433752e+00 3.332313e+01 2.728197e+03 4.468957e+01 4.676203e+01
21 3.522139e-02 3.460834e+00 3.582577e+00 3.498350e+01 2.652632e+03 4.478987e+01 4.732238e+01
22 3.697092e-02 3.629584e+00 3.735941e+00 3.664749e+01 2.579951e+03 4.489011e+01 4.742264e+01
23 3.871921e-02 3.797920e+00 3.894466e+00 3.834051e+01 2.511364e+03 4.499028e+01 4.798251e+01
24 4.046623e-02 3.965841e+00 4.072880e+00 4.003741e+01 2.479173e+03 4.826964e+01 4.805243e+01
25 4.221198e-02 4.133346e+00 4.263344e+00 4.173346e+01 2.409610e+03 4.836899e+01 4.815183e+01
26 4.395643e-02 4.300435e+00 4.466480e+00 4.342978e+01 2.342318e+03 4.846823e+01 4.868535e+01
27 4.569957e-02 4.467107e+00 4.680464e+00 4.514492e+01 2.274214e+03 4.856735e+01 4.878442e+01
28 4.744137e-02 4.633362e+00 4.905374e+00 4.690236e+01 2.207917e+03 4.866635e+01 4.888338e+01
29 4.918182e-02 4.799198e+00 4.970375e+00 4.864035e+01 2.172134e+03 4.902386e+01 4.882677e+01
30 5.092090e-02 4.964616e+00 5.213295e+00 5.041112e+01 2.108779e+03 4.912249e+01 4.892546e+01
31 5.265859e-02 5.129615e+00 5.470882e+00 5.218073e+01 2.048073e+03 4.922100e+01 4.941799e+01
32 5.439488e-02 5.294194e+00 5.743266e+00 5.394886e+01 1.986716e+03 4.931938e+01 4.951632e+01
33 5.612975e-02 5.458354e+00 6.026074e+00 5.574911e+01 1.928356e+03 4.941763e+01 4.961451e+01
